TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
NXST,"Nexstar Media Group, Inc.",176.73,152.42415157894737,11.72,5.54,0.8624690294740417,2.5064886,4.731578649443455,1.45,13003628544,1267362560,150000000,-5650165376,4.421,7143000064,1.3358276643990927,1.2918367346938775,170.91,132.3,0.0696,37.35117031623,33931000,USD,United States,5800165376,buy,8.929,485.76966262219463,2.7486542331363926,Communication Services,Entertainment
BKNG,,3561.39,,141.39,28.39,,,,6.58,,,,,,,,,3535.41,2331.23,,,,,,,,,,,,
SOXX,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
STLA,Stellantis N.V.,23.08,12.893852631578948,6.79,-6.45,0.558659126151601,0.9083154,10.794530145798902,"NV)  Altman Z-Score as of today (February 05, 2024) is 2.28",49445732352,6463750144,52309999616,-15286517760,16.786,29482000384,1.5315195753151956,1.4830789648307898,22.35,15.07,0.0070999996,2.138119926320503,3023099904,EUR,Netherlands,67596517376,buy,1.742,4.0601772074549345,0.17591755664882733,Consumer Cyclical,Auto Manufacturers
BKNG,,3561.39,,141.39,28.39,,,,6.58,,,,,,,,,3535.41,2331.23,,,,,,,,,,,,
BABA,Alibaba Group Holding Limited,71.85,,7.14,1.56,,0.18171722,,2.81,,129647124480,574359994368,387823697920,,198457999360,1.0783430886987844,1.0785682125168843,71.865,66.63,,,,,,186536296448,,,,,,
SBLK,Star Bulk Carriers Corp.,21.52,-20.81209263157895,3.16,-15.61,-0.9671046761886128,1.118137,5.109225144558196,1.18,2781978880,353878240,297132992,-1530234432,3.166,1059206016,1.2987326493663247,1.29963789981895,21.535,16.57,0.043899998,4.211988978978704,84016896,USD,Greece,1827367424,buy,7.433,-27.740602782814694,-1.2890614676029133,Industrials,Marine Shipping
EURN,Euronav NV,17.72,-14.214315789473687,3.41,-13.00,-0.8021622906023526,1.710082,12.689208871369717,2.41,5196608512,282412128,160402000,-3424195760,0.794,1793246976,1.2262975778546712,1.22560553633218,17.71,14.45,0.0291,1.3964621576985077,202234000,USD,Belgium,3584597760,hold,5.782,-5.8210422573537794,-0.32850125605833974,Energy,Oil & Gas Midstream
JD,"JD.com, Inc.",21.78,,2.12,2.64,,0.15173253,,2.65,,24008624128,242352996352,207087833088,,69858000896,1.0461095100864555,1.0384245917387127,21.62,20.82,,,,,,35265163264,,,,,,
HPP,"Hudson Pacific Properties, Inc.",7.99,-31.249263157894735,-0.75,36.48,-3.9110467031157365,0.3912399,2.605001469411987,0.23,6881460736,432281760,94599000,-1003556648,0.672,4879150080,1.9728395061728397,1.8839753086419753,7.6301,4.05,0.26639998,3.0671767727653294,140938000,USD,United States,1098155648,buy,15.811,127.79601883190145,15.994495473329343,Real Estate,REIT - Office
SPY,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
QQQ,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
EXPE,"Expedia Group, Inc.",151.05,167.60757894736847,5.45,24.70,1.1096165438422274,12.443572,9.576765700950308,1.20,23708024832,2102875008,5056000000,-15611525120,36.414,6537999872,1.7176483966340688,1.6777348191949055,147.54,87.94,0.0481,15.772548344271517,133325000,USD,United States,20667525120,buy,15.043,485.063970974986,3.211280840615597,Consumer Cyclical,Travel Services
LBRDA,Liberty Broadband Corporation,66.64,89.5210105263158,4.55,12.74,1.3433524988942949,1.052983,-15.578039794871795,1.63,13815845888,-78000000,88000000,-9385552384,0.602,4150000128,1.045497332914967,1.0,63.74,63.74,0.0165,-4.277816777816778,18233600,USD,United States,9473552384,buy,45.9,-84.16581995529364,-1.2629924963279358,Communication Services,Telecom Services
CI,The Cigna Group,323.84,323.50763789473683,17.71,11.22,0.9989736842105263,2.0960703,9.62451702824001,,116649050112,9841999872,9328000000,-86183330816,31.878,31139999744,1.3465280665280663,1.350914760914761,324.895,240.5,0.012,33.64740267483521,292504000,USD,United States,95511330816,buy,11.367,614.6353337452846,1.8979598991640458,Healthcare,Healthcare Plans
