TICKER SYMBOL,NAME,SHARES HELD,PAID PRICE,LIST PRICE,INTRINSIC VALUE,PAID VALUE,MARKET VALUE,INTRINSIC VALUE POSITION,PERCENT OWNERSHIP,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
ASO,"Academy Sports and Outdoors, In",69,199.5,44.77,143.75625000000002,13765.5,3089.13,9919.181250000001,8.108413007304623e-07,6.97,11.00,3.210995085995086,2.4876163,3.30,5191301632,277346752,472395008,-3331006464,5.551,1853915008,1.7836653386454184,1.7585657370517926,44.14,25.1,0.2343,3.259191320942738,85096800,USD,United States,buy,5.297,67.22082099444397,1.5014702031370106,Consumer Cyclical,Specialty Retail
SAH,"Sonic Automotive, Inc.",48,53.03,56.13,223.2851923076923,2545.44,2694.2400000000002,10717.68923076923,1.7623474467991364e-06,8.87,15.30,3.9780009319025886,1.8676376,3.79,4959657984,296784512,452600000,-1732541760,11.527,3276199936,1.6426690079016681,1.6119402985074625,55.08,34.17,0.2859,10.896613061931827,27236400,USD,United States,hold,7.075,274.30127880901466,4.8868925495994056,Consumer Cyclical,Auto & Truck Dealerships
OXY,Occidental Petroleum Corporatio,25,63.20,75.26,343.78511538461544,1580.0,1881.5000000000002,8594.627884615385,2.6838664055984644e-08,10.17,23.46,4.567965923260901,3.7059126,2.11,100385218560,11093250048,1362000000,-65779943296,1.466,23437000704,3.085690856908569,2.922919229192292,71.29,24.39,0.1228,11.909120453092301,931491968,USD,United States,hold,5.316,402.57407562395474,5.349110757692728,Energy,Oil & Gas E&P
IMKTA,"Ingles Markets, Incorporated",18,87.22,91.31,350.7942307692308,1569.96,1643.58,6314.296153846155,1.252400434165484e-06,14.42,14.50,3.8417942259252085,1.4408282,5.08,2108656768,201410752,241257856,-1471657088,12.702,615538176,1.4445499129884511,1.4144122765385223,89.405,63.21,0.041199997,14.013717402799811,14372400,USD,United States,none,4.339,340.9106252796493,3.7335519141348077,Consumer Defensive,Grocery Stores
RS,Reliance Steel & Aluminum Co.,9,167.14,195.8,825.1087307692309,1504.2599999999998,1762.2,7425.9785769230775,1.492683363712204e-07,30.26,17.28,4.214038461538462,1.6987398,5.76,13178291200,589124992,504500000,-11029158112,8.367,1868400000,1.4454451498597372,1.3957256754761551,189.065,135.46,0.019,9.770856385616502,60294100,USD,United States,buy,4.589,266.4249474839546,1.3606994253521685,Basic Materials,Steel
F,Ford Motor Company,74,21.62,15.57,244.77115384615385,1599.88,1152.18,18113.065384615384,1.8737070408603446e-08,2.8,74.15,15.720690677338077,1.4030217,1.27,164037853184,13603749888,28216000512,-33755996160,7.018,130233999360,1.467483506126296,1.4382657869934026,15.26,10.61,0.0313,3.4445191820606387,3949390080,USD,United States,hold,9.399,301.11390522792595,19.339364497618877,Consumer Cyclical,Auto Manufacturers
GEO,Geo Group Inc (The) REIT,128,7.78,8.74,12.925,995.84,1118.72,1654.4,1.0315093883471674e-06,0.52,15.00,1.4788329519450802,0.92432255,1.06,3319885568,186599632,587860992,-432158848,4.877,2983345920,1.6775431861804224,1.5495201535508638,8.073,5.21,0.2913,1.5037443146103635,124090000,USD,United States,buy,7.157,37.37672166603644,4.276512776434375,Real Estate,REIT—Healthcare Facilities
HZO,"MarineMax, Inc.  (FL)",17,57.81,39.06,347.3514423076923,982.77,664.02,5904.974519230769,7.894419110066778e-07,8.53,30.00,8.892766060104769,1.1163937,4.13,831659456,61937752,281351008,-547930976,13.065,259180992,1.1128205128205129,1.0968660968660968,38.5,35.1,0.2082,2.876250429549275,21534200,USD,United States,buy,2.995,117.12423624174211,2.998572356419409,Consumer Cyclical,Specialty Retail
AAL,"American Airlines Group, Inc.",8,1.14,13.51,375.07736538461535,9.12,108.08,3000.618923076923,1.2310608671947294e-08,-3.671,-105.10,27.76294340374651,None,0.36,41122418688,-761124992,12522000384,3820562432,19.269,44864999424,1.1324392288348701,1.1098072087175188,13.24,11.93,0.1263,-1.171238990868877,649846016,USD,United States,hold,44.218,119.66909150935275,8.857815803801092,Industrials,Airlines
HA,"Hawaiian Holdings, Inc.",8,1.20,15.26,475.0485384615385,9.6,122.08,3800.388307692308,1.5568473063622512e-07,-4.039,-119.70,31.130310515172905,2.0796278,0.70,1461812864,-349930240,1542369024,761303360,30.015,2220033024,1.1959247648902822,1.177115987460815,15.02,12.76,0.1244,-6.809849394483701,51385900,USD,United States,hold,-3.716,800.9430557050446,52.48643877490463,Industrials,Airlines
UAL,"United Airlines Holdings, Inc.",10,0.86,36.02,781.03575,8.6,360.20000000000005,7810.3575,3.060490671575465e-08,-6.123,-129.10,21.683391171571348,2.9661226,0.62,31114344448,2220499968,20074999808,8317080576,61.439,39419998208,1.1794368041912247,1.1661755075311069,35.615,30.54,0.053400002,6.795819438297619,326744992,USD,United States,hold,20.035,-866.859044889002,-24.066047886979508,Industrials,Airlines
STARTING BALANCE,31081.46
