TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACIU,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
AAL,,,,,-105.10,,,,0.46,,,,,,,,,,,,,,,,,,,,,,
AAON,,,,,12.00,,,,11.71,,,,,,,,,,,,,,,,,,,,,,
AACG,,,,,25.00,,,,-1.01,,,,,,,,,,,,,,,,,,,,,,
AAME,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
AAOI,,,,,13.00,,,,-0.22,,,,,,,,,,,,,,,,,,,,,,
AADR,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAPB,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAPD,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAPL,,,,,8.93,,,,6.43,,,,,,,,,,,,,,,,,,,,,,
AATC,,,,,20.00,,,,6.00,,,,,,,,,,,,,,,,,,,,,,
AAPU,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAXJ,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAWW,,,,,10.00,,,,2.03,,,,,,,,,,,,,,,,,,,,,,
