TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,EV/EBITDA RATIO,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP,PRESENT VALUE,DILLUTED PRESENT VALUE,PERCENT_DROP_SINCE_SEPTEMBER
WEX,WEX Inc.,152.46,138.3978901098901,8.88,10.84,0.9077652506223934,4.2971854,4.208749407709966,N/A,5189975040,1255837440,5408900096,47124992,156.019,5237100032,1.2701824543864035,1.266766641672915,152.05,120.03,0.065799996,36.22453732234807,34668143,USD,United States,5361775104,buy,5.929,undefined,564.5720197770205,3.7030829055294534,Technology,Software - Infrastructure,44.71,0.012920001,8.229711539046294,9.362157858721165,-3.7013687803956516
BRK-B,Berkshire Hathaway Inc. New,478.16,296.66508424908426,31.04,3.36,0.6204305760604907,0.0009533092,18.07050636526344,N/A,-234972299264,36799623168,373311012864,-652022317056,259563.16,135370997760,1.0504624442540478,1.0424440343592787,474.5101,455.19,0.0097,26.46079696577607,1390722404,USD,United States,1025333329920,buy,-2.125,undefined,252.89930931539533,0.5289010149644372,Financial Services,Insurance - Diversified,N/A,0.0026800002,60.6781796713968,65.26039537736122,-0.3314226159457999
GME,GameStop Corporation,25.09,undefined,0.77,N/A,undefined,2.0189378,-70.44290976286788,N/A,6342258688,-159700000,9013799936,-1980359680,20.103,4361900032,1.258906171600602,1.2042147516307076,24.0,19.93,0.1512,-0.35617495194989135,448375157,USD,United States,10994159616,none,21.183,undefined,undefined,undefined,Consumer Cyclical,Specialty Retail,N/A,0.08877,-18.155063833703764,18.245632534475547,9.515496146256593
XRX,Xerox Holdings Corporation,1.59,undefined,-8.25,N/A,undefined,0.4527105,0.5539373635391305,N/A,4500930048,375375008,512000000,306681264,3.981,4582000128,1.3361344537815127,1.2941176470588236,1.54,1.19,0.28059998,2.8703606303814193,130776253,USD,United States,205318736,hold,15.414,undefined,undefined,undefined,Industrials,Business Equipment & Supplies,N/A,0.09031,3.0919754963471435,4.715834828552734,25.19685227396887
CNC,Centene Corporation,49.57,-520.8814285714286,-13.05,41.03,-10.507997348626763,1.2439221,3.5890129036669602,N/A,19383758848,6820125184,23740999680,-2914162688,48.081,16371000320,1.9764752791068583,2.0135566188197767,50.5,25.08,0.0321,13.811597040889271,493797000,USD,United States,26655162368,hold,6.745,undefined,551.2800304606375,11.121243301606565,Healthcare,Healthcare Plans,N/A,0.00312,17.286669761215148,19.993136365743922,32.96674255131219
HOG,"Harley-Davidson, Inc.",23.41,13.441758241758244,2.78,-2.50,0.5741887330951834,0.8397625,-5.689646750067831,N/A,4396871168,-460208128,1314916992,-1326993280,11.756,3053696000,1.3698069046225863,1.3657109420713869,23.34,17.09,0.1902,-4.114490939129202,111850563,USD,United States,2641910272,hold,7.085,undefined,-19.89424190348186,-0.8498181077950389,Consumer Cyclical,Recreational Vehicles,N/A,0.01048,21.627225551897236,51.50858114365751,9.751524068137684
LULU,lululemon athletica inc.,142.39,119.68,13.26,2.70,0.8405084626729407,3.2438018,19.089964648618384,N/A,15962346496,824078400,1807202048,-14400503040,15.633,1798440960,1.0400262946461178,1.000292162734643,136.95,136.91,0.0543,7.458892806818546,110482671,USD,Canada,16207705088,hold,5.897,undefined,67.32128892308022,0.4727950623153327,Consumer Cyclical,Apparel Retail,N/A,0.047220003,110.79044138416867,187.511513315927,-10.367619631796957
GDRX,"GoodRx Holdings, Inc.",2.32,1.2126593406593407,0.09,8.22,0.5226979916635089,1.2672938,3.074948857249577,N/A,1065481600,81944752,261820000,-522675552,0.764,542806016,1.310734463276836,1.274011299435028,2.255,1.77,0.0855,0.7544840931355035,108610311,USD,United States,784495552,hold,8.711,undefined,10.16591314355178,4.381859113599906,Healthcare,Health Information Services,N/A,0.12566,3.9015964412379023,5.657738711605176,8.411209638883879
MOH,Molina Healthcare Inc,185.46,41.69128937728939,3.73,5.37,0.22479936038654905,2.4627748,12.75573015421338,N/A,4933129216,757500032,9251000320,-986129408,177.562,3947000064,1.5319676193622997,1.55988765901206,188.84,121.06,0.0689,14.53934802303263,52100000,USD,United States,10237129728,hold,7.756,undefined,162.51050021055596,0.87625633673329,Healthcare,Healthcare Plans,N/A,0.014570001,23.37322912379609,21.603518430191677,25.692982828976334
PLTR,Palantir Technologies Inc.,141.18,30.83723076923078,0.63,52.24,0.21842492399228486,44.66494,257.06452363918237,N/A,323132522496,1260918400,7177042944,-323558736896,3.001,229338000,1.3404861374857577,1.278769464489176,134.68,105.32,0.024300002,0.5492006364836296,2295915766,USD,United States,330735779840,buy,224.373,undefined,26.882264707704934,0.19041128139754165,Technology,Software - Infrastructure,N/A,0.03502,-27.80275112440945,41.78317758455472,0.29838413580193196
