TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,EV/EBITDA RATIO,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP,PRESENT VALUE,DILLUTED PRESENT VALUE,PERCENT_DROP_SINCE_SEPTEMBER,,,
AACG,ATA Creativity Global,1.005,undefined,-0.22,N/A,undefined,0.4255036,undefined,N/A,-16333255,N/A,85236288,42028036,3.722,45952816,1.358108108,1.338513514,0.9905,0.74,0.0012,undefined,43208251,CNY,China,43208252,none,-0.289,-0.026177536,undefined,undefined,Consumer Defensive,Education & Training Services,N/A,0.05422,-5.510553116,-5.275364161,-7.798167961,0.235188956,-6.280364161,-5.249118568
AACBU,Artius II Acquisition Inc.,10.61,undefined,N/A,N/A,undefined,N/A,undefined,Not Found!,293911456,N/A,20298,N/A,0.001,300000,1.033106134,1.039922103,10.68,10.27,N/A,undefined,25175000,USD,United States,N/A,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0.00789,N/A,N/A,-9.70212766,#VALUE!,#VALUE!,#VALUE!
AACB,Artius II Acquisition Inc.,10.51,undefined,0.33,N/A,undefined,N/A,undefined,Not Found!,291143936,N/A,20298,-290567190,0.001,300000,1.041625372,1.040634291,10.5,10.09,0.0001,undefined,22175000,USD,United States,290587488,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0,N/A,N/A,0.190659955,#VALUE!,#VALUE!,#VALUE!
AACBR,Artius II Acquisition Inc.,0.2,undefined,N/A,N/A,undefined,N/A,undefined,Not Found!,N/A,N/A,20298,N/A,0.001,300000,1.095890411,1,0.1825,0.1825,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,,,N/A,N/A,N/A,N/A,-4.761901788,#VALUE!,#VALUE!,#VALUE!
AACI,Armada Acquisition Corp. III,9.96,undefined,N/A,N/A,undefined,N/A,undefined,Not Found!,338033792,N/A,903352,-338033768,0.027,0,1.022587269,1.022587269,9.96,9.74,0,undefined,25522000,USD,United States,338937120,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0,N/A,N/A,0.100504431,#VALUE!,#VALUE!,#VALUE!
AACO,Abony Acquisition Corp. I,9.93,undefined,N/A,N/A,undefined,1.3853904,undefined,N/A,310096960,N/A,1324398,-309156114,0.042,0,1.009146341,1.006097561,9.9,9.84,0,undefined,23695000,USD,United States,310480512,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0.01962,N/A,N/A,0.404445453,#VALUE!,#VALUE!,#VALUE!
AACIU,Armada Acquisition Corp. III,10.3,undefined,N/A,N/A,undefined,N/A,undefined,N/A,349603936,N/A,903352,N/A,0.027,0,1.035175879,1.035175879,10.3,9.95,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0.01567,N/A,N/A,2.182540456,#VALUE!,#VALUE!,#VALUE!
AACIW,Armada Acquisition Corp. III Warrant,0.3,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,903352,N/A,0.027,0,1,1,0.3,0.3,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,,,N/A,N/A,N/A,N/A,-3.97E-06,#VALUE!,#VALUE!,#VALUE!
AACOU,Abony Acquisition Corp. I,10.15,undefined,N/A,N/A,undefined,1.420375,undefined,N/A,312919520,N/A,1324398,N/A,0.042,0,1.023185484,1.023185484,10.15,9.92,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0.01836,N/A,N/A,1.297400562,#VALUE!,#VALUE!,#VALUE!
AACOW,Abony Acquisition Corp. I Warrants,0.398,undefined,N/A,N/A,undefined,0.05848027,undefined,N/A,N/A,N/A,1324398,N/A,0.042,0,1.047368421,1,0.38,0.38,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,,,N/A,N/A,N/A,N/A,-4.76190386,#VALUE!,#VALUE!,#VALUE!
AACPR,Apogee Acquisition Corp,0.2,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,156391,1.176470588,1.176470588,0.2,0.17,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,,,N/A,N/A,N/A,N/A,11.1111067,#VALUE!,#VALUE!,#VALUE!
AACP,Apogee Acquisition Corp,9.96,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,156391,1.003021148,1.006545821,9.995,9.93,0.0005,undefined,17720000,USD,United States,292053888,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0,N/A,N/A,-3.83E-07,#VALUE!,#VALUE!,#VALUE!
AACPU,Apogee Acquisition Corp,10.28,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,156391,1.026973027,1.033966034,10.35,10.01,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0.03837,N/A,N/A,0.78431561,#VALUE!,#VALUE!,#VALUE!
AACPW,N/A,0.127,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,156391,1.058333333,1,0.12,0.12,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,,,N/A,N/A,N/A,N/A,5.833335699,#VALUE!,#VALUE!,#VALUE!
AADR,AdvisorShares Dorsey Wright,83.8001,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.109788108,1.10636472,83.5416,75.51,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-1.72381459,#VALUE!,#VALUE!,#VALUE!
AAEQ,Alpha Architect US Equity 2 ETF,53.73,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.193734726,1.170446567,52.6818,45.01,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-0.479724427,#VALUE!,#VALUE!,#VALUE!
AAL,"American Airlines Group, Inc.",15.71,28.41584,0.31,106.08,1.808774029,N/A,12.0660306,N/A,37370359808,861124992,7912000000,-2286558720,11.963,34892001280,1.556987116,1.525768087,15.395,10.09,0.113900006,1.302002334,661385137,USD,United States,10198558720,buy,9.133,0.928150407,119.3467419,7.596864541,Industrials,Airlines,N/A,0.015759999,-786.5137726,-281.3326732,18.12029906,505.1810994,-297.0426732,-17.90787226
AALG,Leverage Shares 2X Long AAL Dai,15.9511,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.256166902,2.138033946,15.1159,7.07,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,40.1678369,#VALUE!,#VALUE!,#VALUE!
BMBL,Bumble Inc.,3.06,undefined,-5.74,N/A,undefined,0.6253962,1.700794024,N/A,868947392,234666496,245588992,-203382688,1.883,597268992,1.172413793,1.130268199,2.95,2.61,0.1183,1.799159661,130431168,USD,United States,448971680,hold,3.05,0.224264706,undefined,undefined,Communication Services,Internet Content & Information,N/A,0.02913,13.25237556,23.65127392,2.341136797,10.39889836,20.59127392,7.729174485
AAOI,"Applied Optoelectronics, Inc.",170.81,undefined,-0.65,N/A,undefined,11.948589,-30.7602824,N/A,13546984448,-445583264,439704992,-12988119648,5.48,280422016,9.232972973,8.961632432,165.7902,18.5,0.12979999,-5.552939918,80242767,USD,United States,13427824640,buy,-493.407,-20.73138655,undefined,undefined,Technology,Communication Equipment,N/A,0.10795,88.13269246,-25.4241355,-15.81152323,-113.556828,-196.2341355,-0.148844538
AAON,"AAON, Inc.",130.66,66.75136,1.42,50.26,0.51087831,11.68492,-49.74836949,N/A,11145903104,-215134368,13000,-10923733304,0,443332000,2.107419355,2.099354839,130.16,62,0.069,-2.626417737,81911710,USD,United States,10923746304,none,44.397,2.936309524,-123.462645,-0.944915391,Industrials,Building Products & Equipment,N/A,0.16837,351.3732417,-1026.607815,-9.042808527,-1377.981057,-1157.267815,-7.857093335
AAPB,GraniteShares 2x Long AAPL Dail,36.72,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.973132724,1.912412681,35.59,18.61,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-8.222940414,#VALUE!,#VALUE!,#VALUE!
AAPD,Direxion Daily AAPL Bear 1X ETF,11.83,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.060035842,1.051075269,11.73,11.16,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,3.954304754,#VALUE!,#VALUE!,#VALUE!
AAPG,Ascentage Pharma Group Internat,17.03,-94.00192,-2.06,48.54,-5.519783911,8.090377,-1.686273174,N/A,1093498624,-942630656,2472243968,877110912,26.679,1979719040,1.006501182,1.005319149,17.01,16.92,0,-10.09919404,93337216,CNY,China,1595133056,strong_buy,-0.961,-0.062483745,-460.8464227,-27.06085864,Healthcare,Biotechnology,N/A,0,-54.03501269,-42.14170332,-6.838077898,11.89330937,-59.17170332,-2.474556859
AAPL,Apple Inc.,299.24,140.35392,8.26,12.74,0.469034621,40.76446,43.47622871,N/A,4.41125E+12,1.01091E+11,68507000832,-4.27822E+12,4.664,84710998016,1.520065021,1.495529818,294.41,196.86,0.0106,6.882841702,14687356000,USD,United States,4.34672E+12,buy,27.574,1.383542398,116.9532462,0.390834267,Technology,Consumer Electronics,N/A,0.01632,23.09562235,26.3006535,-3.852459777,3.205031147,-272.9393465,0.087891503
AAPU,Direxion Daily AAPL Bull 2X ETF,37.97,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.865847666,1.805405405,36.74,20.35,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-8.040689857,#VALUE!,#VALUE!,#VALUE!
AARD,"Aardvark Therapeutics, Inc.",3.72,-21.87936,-3.21,0.02,-5.881548387,0.95811385,-2.356653196,N/A,-9707048,-34437376,91200000,7861416,4.18,336000,1.110447761,1.088059701,3.645,3.35,0.0685,-1.57850973,21816385,USD,United States,83338584,buy,0.13,0.008452536,-10.75912232,-2.892237183,Healthcare,Biotechnology,N/A,0.16146,989.300046,-10.24394312,-5.583757716,-999.5439891,-13.96394312,-2.753748151
AAUS,Alpha Architect US Equity ETF,59.9,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.217826211,1.202118489,59.1274,49.186,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-1.17631362,#VALUE!,#VALUE!,#VALUE!
AAVM,Alpha Architect Global Factor E,34.5199,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.321083046,1.301140452,33.9988,26.13,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-0.254570344,#VALUE!,#VALUE!,#VALUE!
ABCL,AbCellera Biologics Inc.,5.09,3.83232,-0.48,-18.48,0.752911591,1.7627997,-13.63005086,N/A,1189806720,-114039248,504732000,-1156510112,1.653,140178000,1.85428051,1.883424408,5.17,2.745,0.2,-0.373439546,305375393,USD,Canada,1661242112,strong_buy,-6.319,-0.410858257,2.981541332,0.585764505,Healthcare,Biotechnology,N/A,0.22799999,1.329360168,1.39263482,-20.09419009,0.063274652,-3.69736518,0.273602126
ABAT,American Battery Technology Com,3.1,-11.96952,-0.53,19.73,-3.861135484,3.6384976,-728.603986,N/A,385420224,-580404,37685028,-385199644,0.276,220589,2.583333333,2.558333333,3.07,1.2,0.1575,-0.004254712,136414409,USD,United States,422884672,none,-6.811,-0.446330275,-0.096088412,-0.030996262,Industrials,Waste Management,N/A,0.044439998,-1.15968534,-0.587538194,-16.44204938,0.572147146,-3.687538194,-0.18952845
AAXJ,iShares MSCI All Country Asia e,119.24,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.503467406,1.499180431,118.9,79.31,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-1.119492809,#VALUE!,#VALUE!,#VALUE!
ABCS,Alpha Blue Capital US Small-Mid,33.3278,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.187733428,1.165969351,32.7171,28.06,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,1.380420524,#VALUE!,#VALUE!,#VALUE!
