TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACIU,,10.01,,-0.203,,,None,N/A,,None,343600,,,0,,,10.01,9.76,,,,,,,,,,,
AACIW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
AACI,Armada Acquisition Corp. I,9.91,undefined,-0.203,,undefined,None,N/A,204473360,None,343600,-204473360,0.017,0,1.0610278372591007,1.0588865096359743,9.89,9.34,0.0002,undefined,20709500,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
AACG,ATA Creativity Global,1.57,-5.767826086956521,-0.153,25.00,-3.6737745776793127,0.28097063,-0.61,28994670,None,62413832,13751988,1.988,39557444,1.7840909090909092,1.7386363636363638,1.53,0.88,None,undefined,31598600,USD,China,strong_buy,-0.714,undefined,undefined,Consumer Defensive,Education & Training Services
AADR,,48.393,,None,,,None,Not Found!,,,,,,,,,48.9659,46.05,,,,,,,,,,,
AAL,"American Airlines Group, Inc.",13.68,399.059294117647,-3.671,-105.10,29.171001031991743,None,0.36,41232891904,-761124992,12522000384,3586617344,19.269,44864999424,1.1466890192791281,1.1156747694886842,13.31,11.93,0.1437,-1.171238990868877,649846016,USD,United States,hold,44.336,127.32056794856969,9.30705906056796,Industrials,Airlines
AAME,Atlantic American Corporation,2.91,undefined,0.36,N/A,undefined,0.48443404,,83792728,31110124,15612000,-45600840,0.765,37935000,1.3726415094339623,1.3443396226415094,2.85,2.12,0.0154,1.5247370071948088,20403600,USD,United States,none,6.972,undefined,undefined,Financial Services,Insurance—Life
AAOI,"Applied Optoelectronics, Inc.",1.68,-48.63069053708439,-2.01,13.00,-28.946839605407376,0.18961158,-0.04,168340256,5627875,31980000,-13616264,1.157,153895008,1.135135135135135,1.1081081081081081,1.64,1.48,0.1559,0.20365689492330127,27634100,USD,United States,hold,-5.272,4.927350961571433,2.9329470009353766,Technology,Semiconductors
AADI,"Aadi Bioscience, Inc.",12.77,undefined,-8.813,N/A,undefined,2.159301,5.83,138166992,-41372212,129849000,-139255704,6.2,587000,1.160909090909091,1.1281818181818182,12.41,11,0.052399997,-1.9755616464521057,20942000,USD,United States,buy,-2.964,undefined,undefined,Healthcare,Biotechnology
AAON,"AAON, Inc.",56.8,25.83734015345269,1.12,12.00,0.45488274918050514,6.237842,9.82,3090812928,-47942500,5633000,-2989705496,0.106,82003000,1.1957894736842105,1.175578947368421,55.84,47.5,0.025899999,-0.9033618987322691,53071200,USD,United States,buy,29.5,-20.839704160012957,-0.36689620000022816,Industrials,Building Products & Equipment
AAWW,Atlas Air Worldwide Holdings,69.63,328.3063938618926,15.77,10.00,4.7150135553912484,0.7147992,1.82,3663588096,362989376,730348992,-1231420864,25.908,2431041024,1.1862010221465076,1.156388415672913,67.88,58.7,0.19,12.8763471252625,28190400,USD,United States,buy,3.546,268.0651294108357,3.8498510614797605,Industrials,Airports & Air Services
AAXJ,,67.61,,None,,,None,Not Found!,,,,,,,,,67.6,65.43,,,,,,,,,,,
AATC,Autoscope Technologies Corporat,5,7.055754475703326,0.22,20.00,1.4111508951406653,1.4054657,7.10,23861440,-760375,4826000,-22347110,0.895,1730000,1.0204081632653061,1.0101632653061223,4.9498,4.9,0.0011999999,-0.1410324418667196,5391490,USD,United States,none,11.697,-4.523137649638525,-0.9046275299277051,Technology,Scientific & Technical Instruments
AAPL,Apple Inc.,154.09,127.41038363171356,6.15,9.91,0.8268569253794117,36.78451,7.51,2562444492800,84384628736,51511001088,-2424015192064,3.183,119980998656,1.1941258524488532,1.1800991940483572,152.28,129.04,0.0069999998,5.213690948400843,16185199616,USD,United States,buy,19.615,108.0127420931616,0.700971783328974,Technology,Consumer Electronics
ABCB,Ameris Bancorp,42.24,88.75396419437341,4.78,8.00,2.101182864450128,0.99751425,,-320621408,None,3798459904,789112320,54.883,554412032,1.1051805337519625,1.10858189429618,42.37,38.22,0.0454,undefined,69435800,USD,United States,buy,None,undefined,undefined,Financial Services,Banks—Regional
ABCL,AbCellera Biologics Inc.,10.07,12.69923273657289,0.61,10.00,1.2610956044263049,2.3798304,6.49,2119502592,109252000,786052992,-2087760768,2.763,40276000,1.8579335793357934,1.8297047970479705,9.917,5.42,0.1266,0.38396547361318073,284536000,USD,Canada,buy,7.399,7.993552315118391,0.7937986410246665,Healthcare,Biotechnology
ABEO,Abeona Therapeutics Inc.,4.84,undefined,-0.567,N/A,undefined,5.478927,-21.10,-5212438,-61701000,45024000,-583967232,0.306,9378000,17.925925925925924,15.814814814814811,4.27,0.27,0.0278,-0.42082827483665036,146618000,USD,United States,buy,0.096,undefined,undefined,Healthcare,Biotechnology
ABCM,Abcam plc,14.42,undefined,0.097,N/A,undefined,5.2067,29.24,3437449728,20687500,219900000,-3172600480,0.962,110500000,1.1499202551834131,1.1410526315789473,14.3088,12.54,None,0.09038421208996697,228884000,USD,United Kingdom,buy,50.85,undefined,undefined,Healthcare,Biotechnology
ABGI,ABG Acquisition Corp. I,9.84,undefined,-0.099,,undefined,None,N/A,188948096,-829700,510896,-189567216,0.026,0,1.0239334027055151,1.0231009365244539,9.832,9.61,0.0004,-0.053301041352151766,15566300,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
