TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACI,Armada Acquisition Corp. I,9.99,undefined,-0.203,,undefined,None,undefined,N/A,206931072,None,439863,-206448041,0.021,483034,1.025667351,1.025667351,9.99,9.74,0.0003,undefined,20709500,USD,United States,206887904,none,None,undefined,undefined,Financial Services,Shell Companies
AACG,ATA Creativity Global,1.5242,-5.369571429,-0.153,25,-3.522878512,0.33011454,undefined,-1.03,20498424,None,59858096,13734052,1.906,31832612,1.732045455,1.659090909,1.46,0.88,None,undefined,31376900,USD,China,46124044,strong_buy,-0.503,undefined,undefined,Consumer Defensive,Education & Training Services
AACIU,,9.95,,-0.203,,,None,,N/A,,None,439863,,,483034,,,9.95,9.82,,,,,,None,,,,,,
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
AADR,,48.445,,None,,,None,,Not Found!,,,,,,,,,48.455,43.35,,,,,,,,,,,,
AADI,"Aadi Bioscience, Inc.",13.27,undefined,4.69,N/A,undefined,1.9128679,-10.90692465,6.46,140485600,-29680500,183007008,-140472032,7.502,1721000,1.206363636,1.192727273,13.12,11,0.0596,-1.216658263,24395100,USD,United States,323479040,buy,-2.37,undefined,undefined,Healthcare,Biotechnology
AAL,"American Airlines Group, Inc.",13.6,371.5052,-3.671,-105.1,27.31655882,None,33.29059695,0.46,42763079680,265500000,11232000000,2438839296,17.283,44681998336,1.167381974,1.15193133,13.42,11.65,0.1585,0.408523765,649900992,USD,United States,8793160704,hold,17.818,-41.342605,-3.039897426,Industrials,Airlines
AAME,Atlantic American Corporation,2.53,undefined,0.13,N/A,undefined,0.53485954,1.506167894,,69690120,34212000,21876000,-30467704,1.074,38556000,1.193396226,1.193396226,2.53,2.12,0.014500001,1.679759613,20367200,USD,United States,52343704,none,10.416,undefined,undefined,Financial Services,Insurance—Life
AAOI,"Applied Optoelectronics, Inc.",2.18,-45.27285714,-2.01,13,-20.76736566,0.29960427,8.474647405,-0.22,186963712,7337375,26268000,-34202240,0.921,151050000,1.472972973,1.425675676,2.11,1.48,0.120299995,0.257237841,28523700,USD,United States,60470240,buy,-6.154,5.793976129,2.657787215,Technology,Semiconductors
AAON,"AAON, Inc.",79.92,26.8452381,1.25,12,0.335901378,8.17757,-64.8514883,12.22,4349790720,-65560624,10738000,-4271821744,0.202,77966000,1.682526316,1.653052632,78.52,47.5,0.0178,-1.232354139,53199500,USD,United States,4282559744,buy,36.321,-26.46627222,-0.331159562,Industrials,Building Products & Equipment
