TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI
AACI,,10.74,,-0.02,,,,,N/A,,,,,,,,,10.74,8.56,,,,,,,,,,,,,46.86
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
AACIU,,10.7,,-0.203,,,,,N/A,,,,,,,,,10.7,9.71,,,,,,,,,,,,,99.94
AACG,,0.8884,,-0.18,25,,0.2570133,,-1.4,,,,,,,,,0.8502,0.8,,,,,,,,,,,,,44.79
AADR,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AADI,"Aadi Bioscience, Inc.",5.37,undefined,-2.32,N/A,undefined,0.48557794,-3.362607529,-1.29,-60575488,-39167248,119335000,61944396,4.866,1369000,2.386666667,1,2.25,2.25,0.048899997,-1.596974953,24525900,USD,United States,57390604,buy,0.871,undefined,undefined,Healthcare,Biotechnology,23.84
AAGR,,,,,,,,,-12.38,,,,,,,,,,,,,,,,,,,,,,,N/A
AAGRW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
AAL,,14.59,,2.39,83.39,,,,0.79,,,,,,,,,14.41,10.86,,,,,,,,,,,,,73.93
AAOI,"Applied Optoelectronics, Inc.",23.19,-43.18695652,-2.1,13,-1.862309466,4.1738715,296.6471926,1.62,881797184,2961375,21940000,-801046496,0.617,131705000,14.49375,13.0125,20.82,1.6,0.2611,0.078173671,37882000,USD,United States,822986496,buy,-25.801,1.607658536,0.069325508,Technology,Communication Equipment,71.32
AAON,"AAON, Inc.",71.23,40.19782609,2.05,12,0.564338426,8.463461,349.0815504,16.35,5814462976,16578000,2859000,-5774465544,0.035,40000000,1.519627375,1.497866601,70.21,46.873333,0.0434,0.204049741,81244896,USD,United States,5777324544,buy,22.195,4.001149272,0.056172249,Industrials,Building Products & Equipment,79.49
AAME,Atlantic American Corporation,2,undefined,0.14,N/A,undefined,0.40934464,1.723303755,,56298532,23678124,23921000,-16475556,1.172,39768000,1.342281879,1.32885906,1.98,1.49,0.004,1.160561505,20402300,USD,United States,40396556,none,7.314,undefined,undefined,Financial Services,Insurance - Life,60.23
AAPB,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AAPD,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AAPL,Apple Inc.,198.11,85.70128696,6.12,6.14,0.432594452,49.429573,37.49288444,8.53,3.13513E+12,82179997696,61554999296,-3.01121E+12,3.958,1.2393E+11,1.595473947,1.586695659,197.02,124.17,0.0071,5.28393595,15552799744,USD,United States,3.07277E+12,buy,24.918,73.99348221,0.373496957,Technology,Consumer Electronics,67.93
AAPU,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AAXJ,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
ABCB,,52.56,,4.12,8,,1.0739802,,"Bancorp)  Altman Z-Score as of today (December 16, 2023) is ",,,,,,,,,51.72,28.33,,,,,,,,,,,,,"Bancorp)  14-Day RSI as of today (December 16, 2023) is 80.90"
ABAT,American Battery Technology Com,4.66,undefined,-7.45,N/A,undefined,3.9671364,-9.009569982,N/A,253281776,-24701196,5457540,-236669948,0.115,19078714,1.399399399,1.405405405,4.68,3.33,0.0495,-0.517227793,47756900,USD,United States,242127488,buy,-10.026,undefined,undefined,Basic Materials,Other Industrial Metals & Mining,60.42
ABCL,AbCellera Biologics Inc.,5.48,-7.786086957,-0.44,10,-1.420818788,1.3302304,-24.62228074,3.51,870541440,-64581000,785840000,-789782912,2.708,80757000,1.416020672,1.369509044,5.3,3.87,0.1295,-0.222562648,290169984,USD,Canada,1575622912,buy,-4.883,-3.938391205,-0.718684527,Healthcare,Biotechnology,67.64
ABEO,Abeona Therapeutics Inc.,4.78,undefined,-1.37,N/A,undefined,5.459641,-5.235492705,-15.16,72584056,-22618000,53754000,-66891968,2.17,5692000,2.182648402,2.127853881,4.66,2.19,0.024400001,-0.912999076,24773300,USD,United States,120645968,buy,-1.633,undefined,undefined,Healthcare,Biotechnology,61.63
ABLLL,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
ABL,"Abacus Life, Inc.",8.245,,-0.09,,,3.0760412,,264.55,,-16308528,36649192,-473316696,,118992864,1.507312614,1.372943327,7.51,5.47,,,,,,509965888,,,,,,,68.43
ABLLW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ABIO,"ARCA biopharma, Inc.",1.8,undefined,-0.37,N/A,undefined,0.66413665,-6.670484763,N/A,-12968250,-3888500,38487000,13269324,2.671,301000,1.034482759,1.005747126,1.75,1.74,0.0198,-0.269845456,14410100,USD,United States,25217676,none,2.051,undefined,undefined,Healthcare,Biotechnology,33.59
ABLV,,3.06,,0.18,,,1.2374791,,5.18,,-11964331,,,,,,,2.8799,1.6,,,,,,,,,,,,,57.38
ABLVW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ABNB,"Airbnb, Inc.",147.26,239.8095652,8.22,22,1.628477287,10.268264,22.34284037,5.74,85059297280,2876497408,10961999872,-82997757952,17.149,2308999936,1.797826883,1.780857038,145.87,81.91,0.0547,6.590925665,436432992,USD,United States,93959757824,hold,37.555,192.2830922,1.305738776,Consumer Cyclical,Travel Services,70.71
