TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,EV/EBITDA RATIO,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP,PRESENT VALUE,DILLUTED PRESENT VALUE
AACBU,Artius II Acquisition Inc.,10.57,undefined,N/A,N/A,undefined,N/A,undefined,N/A,293213088,N/A,141921,-265957823,0.005,0,1.057,1.057,10.57,10.0,N/A,undefined,25175000,USD,United States,266099744,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,54.45,0.00789,N/A,N/A
AACBR,Artius II Acquisition Inc.,0.3516,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,141921,N/A,0.005,0,1.0,1.0,0.3516,0.3516,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,,,65.18,N/A,N/A,N/A
AACG,ATA Creativity Global,0.879,undefined,-0.04,N/A,undefined,3.4405782,-2.0886362782030097,-1.22,26492548,-13371401,96807264,67894324,1.533,65881080,1.2557142857142858,1.2385714285714287,0.867,0.7,0.0008,-0.4208487658541779,31772461,CNY,China,28912940,none,20.494,1.849638989169675,undefined,undefined,Consumer Defensive,Education & Training Services,36.31,0.05505,-1.4007422029671412,-1.3387506081288143
AACB,Artius II Acquisition Inc.,10.31,undefined,N/A,N/A,undefined,N/A,undefined,N/A,285187328,N/A,141921,-285187327,0.005,0,1.0467005076142133,1.0467005076142133,10.31,9.85,N/A,undefined,22175000,USD,United States,285329248,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,60.39,0.0,N/A,N/A
AAL,"American Airlines Group, Inc.",15.33,12.69810447761194,0.87,9.28,0.8283173175219791,N/A,23.95059400792899,0.73,39231782912,422500000,7386999808,-3167782912,11.191,36064002048,1.8035294117647058,1.7973058823529413,15.2771,8.5,0.0954,0.640067632348697,660086495,USD,United States,10554782720,buy,8.505,0.8741007194244604,9.342121457817775,0.6094012692640427,Industrials,Airlines,75.02,0.014939999,-43.69062336851191,-53.272774968794835
AAEQ,N/A,49.9401,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0133619850004871,1.0,49.2816,49.2816,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
AALG,Leverage Shares 2X Long AAL Dai,18.19,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.7903543307086616,1.7972440944881891,18.26,10.16,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
AADR,AdvisorShares Dorsey Wright,85.47,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.389304291287386,1.3819895968790636,85.02,61.52,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
AAON,"AAON, Inc.",76.83,24.007664179104484,1.21,15.67,0.3124777323845436,7.380412,-21.64207025115237,7.97,6410311680,-289803360,2859000,-6370311688,0.035,40000000,1.2391935483870968,1.2316129032258065,76.36,62.0,0.1451,-3.550030062207614,81634058,USD,United States,6373170688,strong_buy,30.587,2.2036743515850143,-70.43630542083122,-0.9167812758145415,Industrials,Building Products & Equipment,31.49,0.17331,-8.993094566058327,-7.896976473899072
AAME,Atlantic American Corporation,2.31,undefined,0.23,N/A,undefined,0.46784717,2.132198945032619,,59472044,22098124,34444000,-16753044,1.689,42664000,1.848,1.8399999999999999,2.3,1.25,0.00090000004,1.0833885859392267,20397228,USD,United States,51197044,none,5.909,0.5903096903096903,undefined,undefined,Financial Services,Insurance - Life,47.37,0.80123,2.0566198319499773,7.995094403416434
AAOI,"Applied Optoelectronics, Inc.",29.9,undefined,-3.46,N/A,undefined,3.525688,-6.242918665067359,2.45,2075544960,-327021504,136960992,-1840424480,2.006,235163008,3.078982597054886,2.859643703017197,27.77,9.711,0.2183,-4.789426485292418,68279888,USD,United States,1977385472,buy,-83.942,-3.89522041763341,undefined,undefined,Technology,Communication Equipment,51.85,0.04403,-109.10445116725249,-10.319519714754078
AAPB,GraniteShares 2x Long AAPL Dail,34.095,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.3513793103448277,2.313103448275862,33.54,14.5,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
AAPG,Ascentage Pharma Group Internat,27.6,-29.17052238805971,-2.06,8.75,-1.056902985074627,107.04731,70.84854892116344,2.11,10182845440,36215124,1661453952,-1092386432,4.834,1716164992,1.6727272727272728,1.7224242424242426,28.42,16.5,0.0,0.38956337737716884,92963369,CNY,China,2753840384,strong_buy,-9.752,-0.6353094462540717,5.516391855023715,0.1998692701095549,Healthcare,Biotechnology,42.01,0.0,-0.6223421118147406,-0.6049905383108805
AAPL,Apple Inc.,274.11,115.65120895522388,7.47,10.36,0.42191532215250765,55.021034,51.35975591974862,10.79,4115414384640,78862254080,54697000960,-4020622196736,3.702,112377004032,1.6199397198747119,1.6062289462797708,271.79,169.21,0.0088,5.337058073802108,14776353000,USD,United States,4075319197696,buy,28.432,undefined,82.62881104410339,0.30144398615192214,Technology,Consumer Electronics,50.10,0.016970001,22.95651893940591,26.14224639502298
AAPD,Direxion Daily AAPL Bear 1X Sha,13.07,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.054032258064516,1.05,13.02,12.4,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
AARD,"Aardvark Therapeutics, Inc.",14.47,-33.00139552238805,-2.53,7.39,-2.2806769538623395,2.4733477,-12.365265375415788,N/A,177278944,-25479376,126350000,-176733936,5.803,545000,2.9651639344262297,2.819672131147541,13.76,4.88,0.091800004,-1.1702134617158138,21773272,USD,United States,303083936,strong_buy,-3.318,-0.21615635179153095,-15.264299326366201,-1.0548928352706428,Healthcare,Biotechnology,60.22,0.14552,N/A,N/A
AAPU,Direxion Daily AAPL Bull 2X Sha,34.49,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.170547514159849,2.1337319068596603,33.905,15.89,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
AAUS,Alpha Architect US Equity ETF,54.99,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.1180010572114016,1.1114951408937503,54.67,49.186,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
AAVM,Alpha Architect Global Factor E,29.59,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.4023696682464455,1.414691943127962,29.85,21.1,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
ABAT,American Battery Technology Com,3.93,undefined,-0.5,N/A,undefined,5.025063,-40.26964388802183,52.50,491335776,-12684044,30122498,-491057086,0.232,278729,4.569767441860465,4.443139534883721,3.8211,0.86,0.119399995,-0.0975921220194593,129969958,USD,United States,521179584,none,-13.184,-0.7054039593365435,undefined,undefined,Industrials,Waste Management,48.96,0.04161,N/A,N/A
ABCL,AbCellera Biologics Inc.,3.51,-6.115589552238807,-0.57,4.57,-1.742333205766042,1.0732011,-4.351115502243387,1.64,682245248,-241470496,495672000,-540027264,1.656,142218000,1.8561607615018507,1.8032786885245902,3.41,1.891,0.2203,-0.8066896864011728,299335048,USD,Canada,1035699264,strong_buy,-2.932,-0.1910097719869707,-8.655057926410196,-2.465828469062734,Healthcare,Biotechnology,36.06,0.2292,1.2219743215660563,1.2865164902235413
AAXJ,iShares MSCI All Country Asia e,90.50545,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.4068933623503808,1.3918855899269393,89.54,64.33,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
ABCS,Alpha Blue Capital US Small-Mid,30.87,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.2857142857142856,1.2748812994585588,30.6099,24.01,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
ABEO,Abeona Therapeutics Inc.,5.08,undefined,1.21,N/A,undefined,1.5299878,-5.073398381581941,0.60,87946808,-54261876,207116992,-63839808,3.822,24107000,1.2926208651399491,1.272264631043257,5.0,3.93,0.2718,-1.0013012221634368,54191361,USD,United States,270956800,strong_buy,-1.086,-0.07074918566775244,undefined,undefined,Healthcare,Biotechnology,50.84,0.10346,-3.2591803238433013,-1.5091226100473234
ABI,VictoryShares Pioneer Asset-Bas,24.95,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0082845019195796,1.0010103051121437,24.77,24.745,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
