TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
AADI,"Aadi Bioscience, Inc.",5.19,undefined,-2.31,N/A,undefined,0.9309701,-3.4631756263599396,1.37,-6161926,-36746124,134888992,12534696,5.501,1469000,1.0506072874493928,1.0,4.94,4.94,0.0387,-1.4986245457771035,24519900,USD,United States,122354296,buy,0.092,undefined,undefined,Healthcare,Biotechnology,35.55
AACI,Armada Acquisition Corp. I,10.7,undefined,-0.45,,undefined,{},63.37500275130411,N/A,88540776,1362990,40464,-86339032,0.005,2201754,1.2499999999999998,1.2499999999999998,10.7,8.56,0.00029999999,0.1688362845835114,8072850,USD,United States,86379496,none,{},undefined,undefined,Financial Services,Shell Companies,55.59
AACIU,,11.5,,-0.203,,,{},,N/A,,1362990,40464,,,2201754,,,11.5,9.71,,,,,,{},,,,,,,90.88
AADR,,49.42,,{},,,{},,Not Found!,,,,,,,,,49.39,43.35,,,,,,,,,,,,,Not Found!
AACG,ATA Creativity Global,1.1435,-5.375431861804223,-0.19,25.00,-4.7008586460902695,0.32608694,undefined,-1.33,12845879,{},56848920,20840996,1.81,33371946,1.0209821428571426,1.0178571428571426,1.14,1.12,{},undefined,31585900,CNY,China,36007924,buy,-0.405,undefined,undefined,Consumer Defensive,Education & Training Services,39.15
AAL,"American Airlines Group, Inc.",13.06,388.1668176583493,3.88,109.96,29.721808396504542,{},7.076113118940467,0.87,39054913536,1205874944,12060999680,3632630272,18.46,42582999040,1.121030042918455,1.103862660944206,12.86,11.65,0.1125,1.8456460178742202,653361984,USD,United States,8428369408,hold,5.226,184.64395393867036,14.138128172945663,Industrials,Airlines,19.50
AAME,Atlantic American Corporation,1.944,undefined,0.01,N/A,undefined,0.3846154,1.749096334189608,,55633048,22675750,24247000,-15537484,1.188,39959000,1.1640718562874253,1.1377245508982037,1.9,1.67,0.0139,1.1114310641447287,20402300,USD,United States,39784484,none,12.828,undefined,undefined,Financial Services,Insurance—Life,51.14
AAON,"AAON, Inc.",56.68,31.33627639155471,1.81,12.00,0.5528630273739363,7.0369453,343.74983505736134,13.25,4706493440,13456375,5237000,-4642424568,0.064,86105000,1.63342939481268,1.6291095100864552,56.5301,34.7,0.0365,0.16488735184568698,81609504,USD,United States,4647661568,buy,21.043,2.854671619286174,0.050364707467998836,Industrials,Building Products & Equipment,31.00
AAOI,"Applied Optoelectronics, Inc.",9.31,-41.398848368522074,-2.28,13.00,-4.446707665791845,1.8652648,16.496823117716247,-0.08,409626560,18816876,21578000,-297843152,0.672,132085000,5.81875,5.8062499999999995,9.29,1.6,0.1936,0.5643510834520507,33342500,USD,United States,319421152,buy,-10.174,10.247142513352015,1.1006597758702485,Technology,Communication Equipment,40.52
AAPB,,23.59,,{},,,{},,Not Found!,,,,,,,,,23.66,14.25,,,,,,,,,,,,,Not Found!
AAPD,,22.29,,{},,,{},,Not Found!,,,,,,,,,21.92,19.69,,,,,,,,,,,,,Not Found!
ABAT,,,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,59.29
AAPU,,24.17,,{},,,{},,Not Found!,,,,,,,,,24.2,15.55,,,,,,,,,,,,,Not Found!
AAXJ,,63.43,,{},,,{},,Not Found!,,,,,,,,,64.345,54.39,,,,,,,,,,,,,Not Found!
AAPL,Apple Inc.,173.93,77.89646833013435,5.97,6.95,0.4478610264481938,45.376427,29.98722240572364,8.25,2766059864064,90680500224,62482001920,-2670219513856,3.996,109280002048,1.4007409197068534,1.4017476040911654,174.055,124.17,0.0064999997,5.800137059936639,15634199552,USD,United States,2732701515776,buy,22.315,75.68009929644774,0.43511814693524825,Technology,Consumer Electronics,41.20
ABCB,Ameris Bancorp,37.41,59.91938579654512,4.3,8.00,1.60169435435833,0.7801091,undefined,"Bancorp)  Altman Z-Score as of today (September 23, 2023) is ",2925363200,{},1319129984,-1251469184,19.141,1666307968,1.3205082950935403,1.2979174020472999,36.77,28.33,0.0355,undefined,69139296,USD,United States,2570599168,buy,{},undefined,undefined,Financial Services,Banks—Regional,"Bancorp)  14-Day RSI as of today (September 23, 2023) is 32.76"
ABCL,AbCellera Biologics Inc.,4.91,-3.90595009596929,-0.25,10.00,-0.7955091845151303,1.2100677,-8.380198509901666,3.44,709075328,-169535120,795694016,-651086016,2.75,84032000,1.0061475409836067,1.0,4.88,4.88,0.1271,-0.5859049751862757,289356000,USD,Canada,1446780032,buy,-8.223,-9.154062376230872,-1.8643711560551675,Healthcare,Biotechnology,34.55
ABCM,Abcam plc,22.59,0.07474088291746642,0.01,0.35,0.0033085826878028516,7.1861057,179.3327948412959,8.51,5315628032,28937500,79000000,-5101253696,0.345,217000000,1.8100961538461537,1.8068910256410255,22.55,12.48,{},0.1259669209973082,229723008,GBP,United Kingdom,5180253696,hold,50.147,0.9414878893733553,0.041677197404752335,Healthcare,Biotechnology,46.43
ABLLW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ABL,"Abacus Life, Inc.",7.1,undefined,-0.0,,undefined,2.6690252,29.634764845670574,221.91,503597632,15084583,20611122,-406898830,0.327,76824976,1.2979890310786106,1.2413162705667278,6.79,5.47,{},0.23958347693915508,62961700,USD,United States,427509952,none,13.133,undefined,undefined,Financial Services,Insurance—Life,38.29
ABEO,Abeona Therapeutics Inc.,3.61,undefined,-1.76,N/A,undefined,8.712644,-3.9057655940999725,-18.94,58570700,-22881250,36772000,-57052864,1.485,5974000,1.6484018264840183,1.6484018264840183,3.61,2.19,0.0223,-0.9242746173639416,24755900,USD,United States,93824864,buy,-1.387,undefined,undefined,Healthcare,Biotechnology,46.60
ABIO,"ARCA biopharma, Inc.",2.06,undefined,-0.44,N/A,undefined,0.73815644,-7.081510302668854,N/A,-10142105,-4191875,40156000,11191700,2.787,329000,1.1135135135135135,1.0864864864864863,2.01,1.85,0.0235,-0.2908983976516471,14410100,USD,United States,28964300,none,1.462,undefined,undefined,Healthcare,Biotechnology,41.56
ABLV,,3.13,,0.16,,,1.4065108,,5.37,,-11964331,{},,,{},,,3.22,2.71,,,,,,58933884,,,,,,,34.00
ABLVW,,0.0306,,{},,,0.024582637,,N/A,,-11964331,{},,,{},,,0.0589,0.0589,,,,,,{},,,,,,,N/A
ABSI,Absci Corporation,1.49,-31.153013435700576,-1.16,23.30,-20.908062708523875,0.63198626,-2.807290313549741,-0.71,33019322,-49207376,124587000,-11698168,1.344,19467000,1.3185840707964602,1.2787610619469028,1.445,1.13,0.047,-0.5307609237307331,92711000,USD,United States,136285168,buy,-0.41,-14.254139817352051,-9.566536790169161,Healthcare,Biotechnology,37.81
ABNB,"Airbnb, Inc.",132.75,78.5315547024952,3.19,20.65,0.5915748000187963,16.489958,20.001331865382426,3.90,76689604608,2829769472,10339999744,-74014695424,16.205,2324000000,1.6206812355023807,1.6007813453790747,131.12,81.91,0.047,6.637058016609327,426359008,USD,United States,84354695168,hold,38.793,163.39137451253595,1.230820146987088,Consumer Cyclical,Travel Services,39.20
ABOS,"Acumen Pharmaceuticals, Inc.",4.73,-16.2926679462572,-1.06,9.70,-3.4445386778556446,1.0811466,-9.800494289090194,N/A,128866064,-27929000,144880992,-112633824,2.504,29000,1.3437500000000002,1.2556818181818181,4.42,3.52,0.0367,-0.48262871856018386,57868500,USD,United States,257514816,strong_buy,-2.47,-7.41821646493273,-1.5683332906834522,Healthcare,Biotechnology,19.63
ABUS,Arbutus Biopharma Corporation,1.99,undefined,-0.46,N/A,undefined,2.3915737,-7.78650122141044,-5.49,182996752,-42822624,152484000,-170900992,0.91,2043000,1.0698924731182795,1.0115591397849462,1.8815,1.86,0.041100003,-0.2555704986635234,167556992,USD,United States,323384992,buy,-2.494,undefined,undefined,Healthcare,Biotechnology,35.31
ABVC,"ABVC Biopharma, Inc.",0.9754,undefined,-3.52,N/A,undefined,{},1.3274476368851464,-12.93,9510819,2903456,176077,-3301146,0.045,5847265,1.1895121951219514,1.0,0.82,0.82,0.0108,0.7347935789684137,3951390,USD,United States,3477223,hold,-0.871,undefined,undefined,Healthcare,Biotechnology,26.37
ACAB,Atlantic Coastal Acquisition Co,10.56,undefined,0.17,,undefined,{},undefined,N/A,113253192,{},2227712,-114018784,0.204,0,1.0786516853932586,1.0755873340143003,10.53,9.79,0.0001,undefined,10935700,USD,United States,116246496,none,{},undefined,undefined,Financial Services,Shell Companies,75.35
ACABW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ACABU,,10.57,,{},,,{},,N/A,,{},2227712,,,0,,,10.57,9.56,,,,,,{},,,,,,,77.31
ACACW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ACACU,,10.99,,{},,,{},,N/A,,{},201143,,,910924,,,11.88,9.4396,,,,,,{},,,,,,,74.25
ACAC,Acri Capital Acquisition Corpor,10.97,undefined,0.18,,undefined,{},undefined,N/A,64335168,{},201143,-63424201,0.035,910924,1.1003009027081243,1.0992978936810431,10.96,9.97,0.0005,undefined,3643690,USD,United States,63625344,none,{},undefined,undefined,Financial Services,Shell Companies,61.12
ACAHW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ACAD,ACADIA Pharmaceuticals Inc.,23.4,200.13666026871405,-0.68,-357.00,8.552848729432226,9.723483,-805.6478630638208,5.00,3514713344,-4755500,375377984,-3482076864,2.293,58836000,1.704297159504734,1.6744355426074289,22.99,13.73,0.0832,-0.029044947641282737,163728992,USD,United States,3857454848,buy,-28.279,8.548468850891162,0.3653191816620155,Healthcare,Biotechnology,27.77
ACAH,Atlantic Coastal Acquisition Co,10.45,undefined,0.26,,undefined,{},253.56642184256745,N/A,125556696,501040,1490339,-125556581,0.123,0,1.0663265306122447,1.0643367346938775,10.4305,9.8,0.0008,0.04121208133184181,12157600,USD,United States,127046920,none,{},undefined,undefined,Financial Services,Shell Companies,58.77
ACAHU,,10.4,,-0.005,,,{},,N/A,,501040,1490339,,,0,,,10.4,9.173,,,,,,{},,,,,,,88.48
ACAX,Alset Capital Acquisition Corp.,10.65,undefined,0.11,,undefined,{},undefined,N/A,47935168,{},1219809,-47512095,0.265,100694,2.275641025641026,2.256410256410257,10.56,4.68,0.0037,undefined,2449790,USD,United States,48731904,none,{},undefined,undefined,Financial Services,Shell Companies,58.60
ACAXW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ACAXR,,0.3,,{},,,{},,Not Found!,,{},1219809,,,100694,,,0.2501,0.2501,,,,,,{},,,,,,,Not Found!
ACAXU,,10.63,,{},,,{},,N/A,,{},1219809,,,100694,,,10.6,7.02,,,,,,{},,,,,,,57.44
ACB,Aurora Cannabis Inc.,0.7382,undefined,-5.02,N/A,undefined,0.5786595,-5.179832885512387,-10.13,308909536,-53704500,157855008,-125186528,0.419,156384000,1.700921658986175,1.6935483870967742,0.735,0.434,{},-0.14251425023086967,376836000,CAD,Canada,283041536,hold,-2.149,undefined,undefined,Healthcare,Drug Manufacturers—Specialty & Generic,55.40
ACBAU,,12.035,,-0.208,,,{},,N/A,,{},65288,,,3862855,,,12.035,10.08,,,,,,{},,,,,,,67.61
ACBA,Ace Global Business Acquisition,11.59,undefined,0.02,,undefined,{},undefined,N/A,47718416,{},65288,-40572556,0.017,3862855,1.1112176414189838,1.1198465963566635,11.68,10.43,0.0042,undefined,3473320,USD,Hong Kong,40637844,none,{},undefined,undefined,Financial Services,Shell Companies,68.86
ACBAW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ACDCW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ACDC,ProFrac Holding Corp.,10.81,13.98541266794626,3.68,-4.00,1.2937477028627438,1.3212017,4.758954517259624,1.82,3018985728,362051008,26900000,-1662612832,0.169,1275600000,1.1997780244173142,1.1709211986681467,10.55,9.01,0.1241,2.2715073154817174,159388000,USD,United States,1689512832,buy,3.385,8.632599778606144,0.7985753726740188,Energy,Oil & Gas Equipment & Services,41.27
ACCD,"Accolade, Inc.",10.9,-12.323378119001921,-1.92,-0.90,-1.1305851485322862,1.7832284,29.5009390883035,-0.27,836906176,27944124,302870016,-510919552,4.005,315398016,1.595900439238653,1.5724743777452417,10.74,6.83,0.0452,0.36947976358900453,75631000,USD,United States,813789568,buy,-8.162,2.3714785593889274,0.21756684031091075,Healthcare,Health Information Services,22.29
ACER,Acer Therapeutics Inc.,0.8303,undefined,-1.93,N/A,undefined,{},-1.0209519217642864,N/A,51030120,-19895364,1553416,-18125184,0.063,32271306,1.5096363636363637,1.4607272727272727,0.8034,0.55,0.039100002,-0.8132606269697552,24463700,USD,United States,19678600,buy,-2.586,undefined,undefined,Healthcare,Biotechnology,46.96
