TICKER SYMBOL,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA
AACG,3.97,undefined,None,25.00,undefined, -7.69 
AAL,22.77,995.1960794701987,-18.362,-45.70,43.706459353104904, -4.77 
AAME,3.95,undefined,0.558,N/A,undefined, 4.91 
AAOI,7.84,-83.73039735099339,-2.673,13.00,-10.679897621300176, -15.96 
AAON,70.83,44.50264900662251,1.49,12.00,0.6283022590233307, 30.04 
AAPL,120.59,124.5717655629139,3.687,14.69,1.0330190360968066, 23.42 
AAWW,55.54,363.8741721854305,13.5,10.00,6.551569538808615, 3.87 
AAXJ,90.43,undefined,None,,undefined,Not Found!
ABCB,52.68,90.6298013245033,3.77,8.00,1.7203834723709814,Not Found!
ABCL,26.58,undefined,None,N/A,undefined, -43027.62 
ABCM,19.76,undefined,None,N/A,undefined, 100.94 
ABEO,1.88,undefined,-0.909,N/A,undefined, -1.21 
ABIO,3.8,undefined,-2.067,N/A,undefined, -0.45 
ABMD,294.14,163.62638410596026,4.387,17.10,0.5562874281157281, 52.99 
ABNB,176.16,undefined,None,100.30,undefined, -24.31 
ABST,13.68,undefined,None,,undefined, 26.16 
ABTX,40.57,undefined,2.22,N/A,undefined,Not Found!
ABUS,3.35,undefined,-1,N/A,undefined, -6.13 
ACAC,9.94,undefined,None,,undefined,Not Found!
ACACU,10.38,undefined,None,,undefined,Not Found!
ACAD,26.02,-87.36622516556294,-1.79,25.00,-3.35765661666268, -12.54 
ACBI,23.86,29.066225165562916,1.05,10.50,1.218198875337926,Not Found!
ACCD,40.78,undefined,None,26.10,undefined, -57.18 
ACER,3.14,undefined,-2.058,N/A,undefined, -1.64 
ACET,13,-274.509880794702,-5.011,29.10,-21.11614467651554, -7.75 
ACEV,9.94,undefined,None,,undefined, -259.22 
ACEVU,10.87,undefined,None,,undefined, -259.22 
ACGL,38.21,171.91003973509933,3.32,27.04,4.499085049335235, 10.81 
ACGLO,26.38,undefined,3.32,,undefined,Not Found!
ACGLP,25.7,undefined,3.32,,undefined,Not Found!
ACHC,57.4,-234.54607947019872,-7.59,12.71,-4.086168631884995, 18.39 
ACHV,11.97,undefined,-5.418,N/A,undefined, -2.56 
ACIA,114.99,-10.657615894039735,2.09,-12.00,-0.09268298020732008, 44.85 
ACIU,7.76,undefined,-0.933,N/A,undefined, -4.66 
ACIW,37.455,18.517880794701988,0.62,12.00,0.4944034386517685, 17.3 
ACLS,37.06,60.62384105960265,1.46,20.00,1.6358294943227913, 16.45 
ACMR,84,36.955629139072855,0.89,20.00,0.4399479659413435, 74.05 
ACNB,30.72,undefined,2.129,N/A,undefined,Not Found!
ACOR,5.1,-673.112582781457,-12.32,29.00,-131.98285936891315, -6.82 
ACRS,23.97,-144.81696688741724,-1.199,74.40,-6.041592277322372, -23.4 
ACRX,1.68,undefined,-0.474,N/A,undefined, -5.04 
ACST,0.6253,undefined,0.027,N/A,undefined, 17.49 
ACTC,16.22,undefined,None,,undefined,Not Found!
ACTCU,20.11,undefined,None,,undefined,Not Found!
ACTG,6.055,13.37046357615894,0.322,20.00,2.2081690464341768, 2.88 
ACWI,93.77,undefined,None,,undefined,Not Found!
ACWX,54.61,undefined,None,,undefined,Not Found!
ADAP,5.25,-12.636887417218544,-0.913,1.00,-2.407026174708294, -3.59 
ADBE,450.99,440.15749668874184,11.487,17.80,0.9759806130706709, 40.34 
ADERU,10,undefined,None,,undefined,Not Found!
ADES,5.49,-95.88576158940398,-1.125,50.00,-17.46553034415373, -77.48 
ADI,149.9,111.42181192052982,3.771,11.78,0.7433076178821202, 24.65 
ADIL,2.39,undefined,-0.874,N/A,undefined, -3.37 
ADMA,2.05,undefined,-0.88,N/A,undefined, -5.02 
ADMP,0.9203,undefined,-0.499,N/A,undefined, -4.08 
ADMS,5.19,316.44858278145693,-2.028,-115.60,60.97275198101289, -6.55 
ADOC,9.95,undefined,None,,undefined,Not Found!
ADP,187,157.708238410596,5.77,10.26,0.8433595636930268, 22.05 
ADPT,38.68,-17.36659602649007,-1.114,2.20,-0.4489812830012944, -32.78 
ADRE,54.44,undefined,None,,undefined,Not Found!
ADSK,262.19,313.38723178807953,5.44,31.04,1.195267675304472, 82.21 
ADTN,16.62,0.7867549668874173,0.05,2.30,0.0473378439763789, 74.65 
ADTX,3.13,undefined,None,N/A,undefined, -5.51 
ADUS,104.44,71.2158940397351,2.08,15.00,0.6818833209472913, 31.43 
