TICKER SYMBOL,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL LIABILITIES
AACG,4.37,undefined,None,25.00,undefined, -6.43 , 118.11 Mil ,$0.00 Mil ,$52.85 Mil 
AACQ,10.1,undefined,None,N/A,undefined,Not Found!, 933.34 Mil ,$ Mil ,$0.34 Mil 
AAL,23.9,988.6487368421053,-18.362,-45.70,41.366055934816124, -4.84 , 49.46 Bil ,"$-8,501 Mil ","$68,875 Mil "
AAME,3.68,undefined,0.558,N/A,undefined, 5.31 , 96.13 Mil ,$8.7 Mil ,$260.1 Mil 
AAOI,8.36,-83.17953947368422,-2.673,13.00,-9.94970567867036, -16.64 , 346.99 Mil ,$-63.6 Mil ,$202.9 Mil 
AAON,70.01,44.20986842105263,1.49,12.00,0.6314793375382464, 29.42 , 3.63 Bil ,$61.0 Mil ,$98.1 Mil 
AAPL,122.15,123.7522144736842,3.687,14.69,1.0131167783355235, 23.77 , 2.10 Til ,"$80,219 Mil ","$287,830 Mil "
AAWW,60.44,361.48026315789474,13.5,10.00,5.980811766345049, 3.95 , 3.71 Bil ,$746 Mil ,"$3,768 Mil "
AAXJ,92.66,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ABCB,52.51,90.03355263157894,3.77,8.00,1.7145982218925717,Not Found!, 2.16 Bil ,$780 Mil ,"$17,792 Mil "
ABCL,33.96,undefined,None,-80.23,undefined, 45.31 , 7.69 Bil ,$ Mil ,$175.0 Mil 
ABCM,19.22,undefined,None,N/A,undefined, 100.89 , 4.35 Bil ,$37.8 Mil ,$259.5 Mil 
ABEO,1.88,undefined,-0.909,N/A,undefined, -1.29 , 97.44 Mil ,$-36.36 Mil ,$48.65 Mil 
ABIO,3.65,undefined,-2.067,N/A,undefined, -0.58 , 5.52 Mil ,$-7.74 Mil ,$3.91 Mil 
ABMD,318.73,162.5498947368421,4.387,17.10,0.5099924536028679, 55.53 , 13.78 Bil ,$236.9 Mil ,$167.0 Mil 
ABNB,187.94,undefined,None,100.30,undefined, -26.33 , 110.47 Bil ,$-223 Mil ,"$7,590 Mil "
ABST,13.87,undefined,None,,undefined, 27.18 , 568.49 Mil ,$40.8 Mil ,$188.8 Mil 
ABTX,40.54,undefined,2.22,N/A,undefined,Not Found!, 665.70 Mil ,$53.9 Mil ,"$5,291.5 Mil "
ABUS,3.33,undefined,-1,N/A,undefined, -6.25 , 360.97 Mil ,$-51.44 Mil ,$35.11 Mil 
ACAC,9.95,undefined,None,,undefined,Not Found!, 267.18 Mil ,$ Mil ,$0.09 Mil 
ACACU,10.5,undefined,None,,undefined,Not Found!, - ,$ Mil ,$0.09 Mil 
ACAD,25.8,-86.79144736842107,-1.79,25.00,-3.3640095879232974, -12.39 , 3.51 Bil ,$-143.8 Mil ,$155.6 Mil 
ACBI,24.1,28.875,1.05,10.50,1.1981327800829875,Not Found!," -86,579,000.00 ",$80.96 Mil ,"$3,277.03 Mil "
