TICKER SYMBOL,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,ENTERPRISE VALUE,FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL)
AACG,4.06,undefined,None,25.00,undefined, -6.2 , 114.04 Mil ,$0.00,$52.85
AACQ,10.39,undefined,None,N/A,undefined,Not Found!, 931.53 Mil ,$,$0.34
AAL,23.65,1025.7652423208192,-18.362,-45.70,43.372737518850705, -4.84 , 49.25 Bil ,"$-8,501","$68,875"
AAME,3.98,undefined,0.558,N/A,undefined, 5.13 , 93.07 Mil ,$8.7,$260.1
AAOI,8.41,-86.30232081911264,-2.673,13.00,-10.26186930072683, -16.13 , 336.84 Mil ,$-63.6,$202.9
AAON,68.7,45.869624573378836,1.49,12.00,0.6676801247944517, 29.18 , 3.60 Bil ,$61.0,$98.1
AAPL,130.36,128.39820204778155,3.687,14.69,0.9849509208943046, 25.65 , 2.27 Til ,"$80,219","$287,830"
AAWW,61.8,375.05119453924914,13.5,10.00,6.068789555651281, 4 , 3.76 Bil ,$746,"$3,768"
AAXJ,93.93,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ABCB,51.47,93.4136518771331,3.77,8.00,1.814914549779155,Not Found!, 2.08 Bil ,$780,"$17,792"
ABCL,30.59,undefined,None,-80.23,undefined, 41.58 , 7.05 Bil ,$,$175.0
ABCM,19.66,undefined,None,N/A,undefined, 102.41 , 4.38 Bil ,$37.8,$259.5
ABEO,1.62,undefined,-0.909,N/A,undefined, -1 , 75.71 Mil ,$-36.36,$48.65
ABIO,3.63,undefined,-2.067,N/A,undefined, -0.38 , 3.65 Mil ,$-7.74,$3.91
ABMD,320.62,168.65245051194537,4.387,17.10,0.5260197445946772, 58.89 , 14.61 Bil ,$236.9,$167.0
ABNB,179.94,undefined,None,100.30,undefined, -25.04 , 105.15 Bil ,$-223,"$7,590"
ABST,14.1,undefined,None,,undefined, 28.49 , 596.11 Mil ,$40.8,$188.8
ABTX,40.06,undefined,2.22,N/A,undefined,Not Found!, 653.60 Mil ,$53.9,"$5,291.5"
ABUS,3.24,undefined,-1,N/A,undefined, -6.04 , 348.39 Mil ,$-51.44,$35.11
ACAC,9.98,undefined,None,,undefined,Not Found!, 268.26 Mil ,$,$0.09
ACACU,10.5,undefined,None,,undefined,Not Found!, - ,$,$0.09
ACAD,21.23,-90.04982935153585,-1.79,25.00,-4.241631151744505, -9.43 , 2.68 Bil ,$-143.8,$155.6
ACBI,24.45,29.959044368600683,1.05,10.50,1.2253187880818275,Not Found!," -81,282,000.00 ",$80.96,"$3,277.03"
ACCD,46.87,undefined,None,25.40,undefined, -66.58 , 2.34 Bil ,$-48.6,$79.2
ACER,2.98,undefined,-2.058,N/A,undefined, -1.66 , 37.82 Mil ,$-17.03,$6.39
ACET,12.87,-282.9419249146758,-5.011,29.10,-21.98460955047986, -7.8 , 346.47 Mil ,$-7.72,$44.01
ACEV,9.99,undefined,None,,undefined, -255.38 , 286.02 Mil ,$,$8.91
ACEVU,11,undefined,None,,undefined,Not Found!, - ,$,$8.91
ACGL,40.27,265.7359726962457,3.32,44.80,6.598857032437191, 11.11 , 19.87 Bil ,"$2,847","$29,353"
ACGLO,26.76,undefined,3.32,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ACGLP,25.9,undefined,3.32,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ACHC,57.71,-241.75056655290106,-7.59,12.71,-4.1890585089742, 18.8 , 8.22 Bil ,$442,"$4,600"
ACHV,11.21,undefined,-5.418,N/A,undefined, -2.37 , 34.43 Mil ,$-13.49,$3.01
ACIU,7.01,undefined,-0.927,N/A,undefined, -3.83 , 247.70 Mil ,$-66.44,$26.18
ACIW,38.77,19.08668941979522,0.62,12.00,0.4923056337321439, 18.03 , 5.75 Bil ,$290,"$2,180"
ACLS,46.96,62.48600682593857,1.46,20.00,1.3306219511486066, 18.9 , 1.34 Bil ,$62.3,$143.0
ACMR,88.14,38.09078498293516,0.89,20.00,0.43216229842222786, 78.01 , 1.66 Bil ,$-69.0,$133.1
ACNB,28.52,undefined,2.129,N/A,undefined,Not Found!," -87,947,000.00 ",$24.42,"$2,297.39"
ACOR,4.66,-693.7883959044369,-12.32,29.00,-148.88163002241134, -6.63 , 236.96 Mil ,$-65.4,$394.7
ACRS,29.6,-149.2652696245734,-1.199,74.40,-5.042745595424776, -29.66 , 1.46 Bil ,$-39.09,$33.13
ACRX,1.51,undefined,-0.474,N/A,undefined, -4.15 , 149.24 Mil ,$-40.36,$122.05
ACST,0.526,undefined,0.027,N/A,undefined, 13.96 , 78.09 Mil ,$-15.69,$4.59
ACTC,17.5,undefined,None,,undefined,Not Found!, 590.73 Mil ,$,$0.05
ACTCU,21,undefined,None,,undefined,Not Found!, - ,$,$0.05
ACTG,6.22,65.9098976109215,1.54,20.00,10.5964465612414, 0.1 , 11.11 Mil ,$-33.60,$212.07
ACWI,97.19,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ACWX,56,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ADAG,16.95,undefined,None,N/A,undefined, -31.48 , 512.79 Mil ,$,$162.90
ADAP,4.97,-13.02505119453925,-0.913,1.00,-2.6207346467885815, -3.49 , 438.94 Mil ,$-56.50,$109.92
ADBE,493.41,448.4636177474403,11.486,17.50,0.9089066248098747, 43.21 , 240.68 Bil ,"$5,790","$11,439"
ADERU,10.25,undefined,None,,undefined,Not Found!, - ,$,$0.28
ADES,5.46,-98.83105802047783,-1.125,50.00,-18.10092637737689, -73.2 , 97.62 Mil ,$47.78,$61.46
ADI,159.45,114.84432491467578,3.771,11.78,0.7202529000606823, 25.25 , 63.58 Bil ,"$1,909","$9,352"
ADIL,2.38,undefined,-0.874,N/A,undefined, -3.37 , 36.70 Mil ,$-7.63,$1.51
ADMA,1.79,undefined,-0.879,N/A,undefined, -4.32 , 258.31 Mil ,$-114.73,$119.42
ADMP,0.9381,undefined,-0.499,N/A,undefined, -3.82 , 118.73 Mil ,$-19.69,$16.52
ADMS,4.67,326.1688464163822,-2.028,-115.60,69.84343606346515, -5.93 , 256.20 Mil ,$-50.71,$170.01
ADOC,10.04,undefined,None,,undefined,Not Found!, 119.46 Mil ,$,$0.07
ADP,185.81,162.55251877133102,5.77,10.26,0.874831918472262, 21.66 , 81.82 Bil ,"$2,507","$43,426"
ADPT,40.63,-27.93744709897611,-1.114,8.20,-0.6876063770360844, -34.97 , 5.05 Bil ,$-168.49,$373.15
ADRE,56.37,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ADSK,286.12,360.10200682593853,5.44,35.58,1.258569854697115, 90.89 , 65.59 Bil ,"$1,341","$6,314"
ADTN,18.27,0.8109215017064847,0.05,2.30,0.044385413339161725, 79.2 , 822.52 Mil ,$-22.9,$152.7
ADTX,2.7,undefined,None,N/A,undefined, -3.84 , 33.94 Mil ,$-7.22,$2.09
ADUS,102.98,73.40341296928328,2.08,15.00,0.712792901236, 31.24 , 1.79 Bil ,$102.6,$373.9
ADV,12.55,undefined,None,14.46,undefined, 20.16 , 6.16 Bil ,$315,"$3,237"
ADVM,9.61,undefined,-1.38,N/A,undefined, -4.3 , 488.97 Mil ,$-91.14,$48.22
ADXN,10.6,undefined,None,,undefined, -2.87 , 37.78 Mil ,$-12.89,$6.27
ADXS,0.7032,undefined,-0.327,N/A,undefined, -2.54 , 52.05 Mil ,$-17.74,$8.37
AEACU,10.04,undefined,None,,undefined,Not Found!, - ,$,$0.05
AEGN,28.6,-35.819453924914676,-1.015,15.00,-1.2524284589131005, 14.95 , 1.06 Bil ,$93.9,$493.1
AEHL,3.23,undefined,None,N/A,undefined, 1.54 , 17.63 Mil ,$0.90,$19.39
AEHR,2.47,-10.057679180887371,-0.235,20.00,-4.071934891047518, -9.18 , 56.44 Mil ,$-4.24,$6.32
AEI,11.29,undefined,None,N/A,undefined, -4.96 , 75.10 Mil ,$-4.03,$14.50
AEIS,117.67,75.87456109215017,3.499,5.94,0.6448080317170917, 18.96 , 4.50 Bil ,$165,$832
AEMD,2.07,undefined,-0.706,N/A,undefined, -1.72 , 12.79 Mil ,$-6.20,$1.24
AEP,86.69,97.24,4.42,6.15,1.1216980043834353, 12.33 , 76.72 Bil ,"$-2,483","$59,983"
AEPPZ,50.38,undefined,None,,undefined,Not Found!, - ,"$-2,483.10","$59,982.70"
AERI,18.04,349.83393856655294,-3.989,-66.90,19.39212519770249, -7.41 , 868.59 Mil ,$-67.79,$378.08
AESE,2.77,undefined,-0.758,N/A,undefined, -3.04 , 108.28 Mil ,$-9.38,$21.32
AEY,2.88,undefined,-1.513,N/A,undefined, -2.35 , 39.26 Mil ,$-5.94,$15.80
AEYE,28.76,undefined,-0.774,N/A,undefined, -51.14 , 302.86 Mil ,$-3.20,$10.62
AEZS,1.12,undefined,-0.125,N/A,undefined, -16.27 , 109.26 Mil ,$-4.13,$24.07
AFBI,12.15,undefined,None,,undefined,Not Found!," -72,128,000.00 ",$,$242.13
AFIB,13.34,undefined,None,N/A,undefined, -3.03 , 280.86 Mil ,$-96.39,$65.95
AFIN,9.74,undefined,-0.43,N/A,undefined, 15.43 , 2.84 Bil ,$83.5,"$1,908.4"
AFINO,24.97,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AFINP,25.82,undefined,-0.43,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AFMD,7.8,undefined,-0.604,N/A,undefined, -23.45 , 1.01 Bil ,$-38.53,$71.76
AFRM,71.5,undefined,None,-2.43,undefined, -280.68 , 19.34 Bil ,$-81.2,"$3,057.7"
AFYA,20.58,undefined,None,10.36,undefined, 19.89 , 1.97 Bil ,$57.4,$237.8
AGBA,10.56,undefined,None,,undefined, -109.96 , 57.29 Mil ,$-0.51,$3.23
AGBAU,10.75,undefined,-0.223,,undefined,Not Found!, - ,$-0.51,$3.23
AGC,13.13,undefined,None,N/A,undefined, 14.52 , 376.30 Mil ,$,$131.16
AGCUU,13.76,undefined,None,,undefined,Not Found!, - ,$,$0.08
AGEN,2.8,undefined,-1.05,N/A,undefined, -4.51 , 518.08 Mil ,$-142.56,$426.01
AGFS,2.14,-44.606689419795224,-1.264,15.00,-20.844247392427672, 7.04 , 345.39 Mil ,$24.3,$513.4
AGFY,12.95,undefined,None,N/A,undefined, -21.46 , 261.91 Mil ,$,$28.29
AGIO,52.84,-345.59146757679184,-4.745,40.00,-6.54033814490522, -10.59 , 3.21 Bil ,$-305.7,$453.5
AGLE,7.83,undefined,-1.516,N/A,undefined, -2.85 , 229.38 Mil ,$-80.06,$21.79
AGMH,12.47,undefined,-0.077,,undefined, -255.04 , 275.44 Mil ,$-0.23,$2.58
AGNC,17.11,-8.375017064846416,-0.66,-0.05,-0.48948083371399276,Not Found!, 9.71 Bil ,"$1,747.00","$70,738.00"
