TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ALTMAN Z-SCORE
AACIU,Armada Acquisition Corp. I,9.92,undefined,None,,undefined,1984,Not Found!,None, - ,44717564,$,$0.11,1.0163934426229508,1.0163934426229508,9.92,9.76,None,
AADI,,,,Key Error,,,,,,,,Not Found!,Not Found!,,,,,,Not Found!
AACG,ATA Creativity Global,2.63,-16.173852140077823,-0.282,25.00,-6.149753665428831,0.3877551, -5.77 ,-0.705, 75.44 Mil ,35527896,$0.00,$50.87,2.481132075471698,2.4623584905660376,2.6101,1.06,None,-0.16 
AAME,Atlantic American Corporation,3.69,undefined,0.746,N/A,undefined,0.5449591, 4.42 ,4.533, 99.58 Mil ,104512712,$-5.6,$262.1,1.9627659574468086,1.968085106382979,3.7,1.88,0.0642,
AADR,AdvisorShares Dorsey Wright,67.47,,Key Error,,,None,Not Found!,,Not Found!,,Not Found!,Not Found!,1.276631977294229,1.286092715231788,67.97,52.85,,Not Found!
AATC,Autoscope Technologies Corporat,7.6,undefined,0.54,,undefined,1.9932432, 11.84 ,15.398, 32.39 Mil ,30997146,$2.09,$1.00,2.235294117647059,2.2058823529411766,7.5,3.4,0.0053,26.18 
AAL,"American Airlines Group, Inc.",19.9,1950.152762645915,-9.845,-124.20,97.99762626361382,None, -7.37 ,-5.644, 43.23 Bil ,43231412224,"$-2,548","$80,131",1.8720602069614296,1.8703668861712135,19.882,10.63,0.15689999,-0.05 
AAOI,"Applied Optoelectronics, Inc.",7.09,-69.23836575875487,-1.881,13.00,-9.76563691942946,0.7086691, -22.57 ,-13.927, 303.17 Mil ,308869984,$-49.5,$195.9,1.109546165884194,1.1087636932707357,7.085,6.39,0.1742,0.79 
AAON,"AAON, Inc.",67.39,50.189105058365755,1.43,12.00,0.744755973562335,9.386696, 29.58 ,29.605, 3.42 Bil ,3489757440,$61.5,$120.5,1.228623518687329,1.226253418413856,67.26,54.85,0.044299997,21.04 
AAPL,Apple Inc.,147.54,245.82796575875483,5.108,19.61,1.6661784313322139,38.27924, 21.99 ,22.65, 2.50 Til ,2512655745024,"$94,768","$265,560",1.4310378273520854,1.4241513094083416,146.83,103.1,0.0056,7.70 
AAXJ,iShares MSCI All Country Asia e,86.3,,Key Error,,,None,Not Found!,,Not Found!,,Not Found!,Not Found!,1.166846944294213,1.1715792320173068,86.65,73.96,,Not Found!
AAWW,Atlas Air Worldwide Holdings,73.22,504.14155642023354,15.917,10.00,6.885298503417557,0.8581691, 3.88 ,4.68, 4.08 Bil ,4080012032,$346,"$3,642",1.4579848665870172,1.453604141776185,73,50.22,0.1577,1.70 
ABCB,Ameris Bancorp,48.43,172.0365758754864,6.09,8.00,3.552272886134346,1.2267549,Not Found!,None, 3.78 Bil ,711628416,$706,"$19,050",2.3216682646212847,2.3346116970278046,48.7,20.86,0.0334,
