TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
AADI,,,,Key Error,,,,, 573.87 Mil ,,$,,,,$0.00,,,,,,,Not Found!,
AACIU,,,,Key Error,,,,, - ,,$,,,,$0.11,,,,,,,Not Found!,
AACG,ATA Creativity Global,2.77,undefined,None,25.00,undefined,None,-0.12 , 79.85 Mil ,88296768,$0.00,None,95572344,7126000,$50.87,45391964,2.6132075471698113,2.6037735849056602,2.76,1.06,None, -6.05 ,-1.296
AAL,"American Airlines Group, Inc.",19.76,2986.5350597609568,-14.725,-124.20,151.14043824701196,None,-0.05 , 42.89 Bil ,48223707136,"$-2,548",-8850750464,14039000064,1615411200,"$80,131",48023998464,1.858889934148636,1.8175070555032924,19.3201,10.63,0.1467, -7.28 ,-4.481
AADR,,68.43,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,68.5506,52.85,,Not Found!,
AAME,Atlantic American Corporation,4.13,undefined,0.558,N/A,undefined,0.56173444,, 105.70 Mil ,106757896,$-5.6,25857000,9532000,-71924648,$262.1,38470000,2.1968085106382977,2.120744680851064,3.987,1.88,0.0642, 4.58 ,4.63
AAOI,"Applied Optoelectronics, Inc.",7.77,-92.15019920318726,-2.445,13.00,-11.859742497192698,0.7425933,0.83 , 320.27 Mil ,308869984,$-49.5,-36835500,44013000,-163362408,$195.9,154751008,1.215962441314554,1.197965571205008,7.655,6.39,0.1742, -23.4 ,-13.927
AAON,"AAON, Inc.",68.16,49.59203187250997,1.38,12.00,0.727582627237529,9.444913,20.65 , 3.41 Bil ,3501286400,$61.5,40959500,111427000,-3412742728,$120.5,0,1.2426618049225158,1.2215132178669097,67,54.85,0.0517, 28.92 ,29.702
AAPL,Apple Inc.,153.65,219.23112191235063,4.449,19.61,1.4268214898298122,37.216595,7.91 , 2.61 Til ,2489513410560,"$94,768",80625876992,61696000000,-2513200594944,"$265,560",135491002368,1.4903006789524735,1.4849660523763337,153.1,103.1,0.0058, 22.8 ,22.441
AATC,,,,Key Error,,,,27.60 , 35.13 Mil ,,$2.09,,,,$1.00,,,,,,, 12.69 ,
AAWW,Atlas Air Worldwide Holdings,73.9,502.3125896414344,15.489,10.00,6.797193364566094,0.89544785,1.70 , 4.09 Bil ,4013743872,$346,401900384,703777024,-1430400384,"$3,642",2730127104,1.47152528872959,1.4558940661091198,73.115,50.22,0.14140001, 3.86 ,4.73
AAXJ,,89.62,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,89.735,73.96,,Not Found!,
ABCB,Ameris Bancorp,48.24,152.80709163346617,5.283,8.00,3.1676428613902603,1.2097018,, 3.64 Bil ,1198757888,$706,None,2822246912,-526952192,"$19,050",559384000,2.3125599232981786,2.2943767976989453,47.8607,20.86,0.0372,Not Found!,None
ABCL,AbCellera Biologics Inc.,17.55,undefined,None,-86.38,undefined,None,19.68 , 4.46 Bil ,4141940224,$,174090608,792571008,-4284582272,$175.0,34897000,1.2095106822880772,1.2019297036526535,17.44,14.51,0.1046, 26.32 ,12.86
ABCM,Abcam plc,21.54,undefined,None,N/A,undefined,None,39.18 , 4.70 Bil ,3921584128,$17.8,18700000,211900000,-4615484832,$255.4,117000000,1.2567094515752624,1.2322053675612603,21.12,17.14,None, 101.12 ,75.56
ABGI,ABG Acquisition Corp. I,9.7,undefined,None,,undefined,None,N/A , 187.18 Mil ,186242256,$,None,703509,-186436059,$0.00,0,1.0093652445369408,1.0083246618106139,9.69,9.61,0.00029999999,Not Found!,None
ABIO,"ARCA biopharma, Inc.",3.12,undefined,-1.691,N/A,undefined,0.6777438,N/A ," -18,091,000.00 ",-18724064,$-13.98,-8454625,63197000,18525692,$4.13,522000,1.1470588235294117,1.128676470588235,3.07,2.72,0.028499998, 1.13 ,1.167
ABEO,Abeona Therapeutics Inc.,1.35,undefined,-0.559,N/A,undefined,1.4165792,-5.50 , 67.30 Mil ,55150228,$-38.19,-15419375,77559000,-57296152,$46.59,8200000,1.3636363636363638,1.3131313131313131,1.3,0.99,0.0547, -1.52 ,-1.206
ABMD,"ABIOMED, Inc.",369.83,160.46537051792833,4.94,10.03,0.43388954524491885,12.689047,69.67 , 16.39 Bil ,15711506432,$247.7,180856000,523031008,-16646425120,$150.9,5658000,1.5236270753512133,1.4971783463107158,363.4101,242.73,0.0196, 57.06 ,54.206
ABOS,,15.27,,Unexpected error:<class 'TypeError'>,32.10,,None,-3.10 , 562.09 Mil ,,$0.00,None,41407000,,$179.02,0,,,15.06,13.95,, -77.7 ,
ABNB,"Airbnb, Inc.",157.2,undefined,None,100.30,undefined,None,3.99 , 94.34 Bil ,86935355392,"$1,451",None,6569307136,-90999329792,"$12,092",2457024000,1.2938271604938272,1.2938271604938272,157.2,121.5,0.07, -22.36 ,-26.702
ABSI,,19.41,,Unexpected error:<class 'TypeError'>,,,None,, 1.82 Bil ,,$,None,180756000,,$0.00,144974000,,,19.075,17,,Not Found!,
ABST,Absolute Software Corporation,12.43,undefined,None,,undefined,None,1.61 , 488.96 Mil ,559650880,$44.0,42730264,132729520,-487166736,$206.2,12447792,1.327991452991453,1.326923076923077,12.42,9.36,None, 43.91 ,30.39
ABTX,"Allegiance Bancshares, Inc.",36.6,undefined,2.942,N/A,undefined,0.961467,, 269.63 Mil ,313069184,$75.6,None,711284992,-19945088,"$5,719.5",259428000,1.706691536488692,1.6745162042434132,35.91,21.445,0.0145000005,Not Found!,None
ABVC,"ABVC Biopharma, Inc.",3.53,undefined,-0.473,N/A,undefined,30.37383,-2.15 , 92.01 Mil ,76507648,$-5.66,-3867207,924841,-78441783,$8.43,6497289,1.8102564102564103,1.630769230769231,3.18,1.95,0.0165, -9 ,-8.133
ABUS,Arbutus Biopharma Corporation,3.44,undefined,-1,N/A,undefined,None,-6.32 , 418.48 Mil ,410545920,$-59.81,-34567752,78379000,-254097384,$34.55,2832000,1.4891774891774892,1.4415584415584415,3.33,2.31,0.051799998, -6.31 ,-6.526
ACAD,ACADIA Pharmaceuticals Inc.,17.17,-96.36788844621516,-1.641,25.00,-5.612573584520393,4.6213164,6.45 , 2.21 Bil ,3680780288,$-140.6,-77951872,577768000,-2110035904,$159.6,66663000,1.073125,1.04375,16.7,16,0.060500003, -8.48 ,-17.706
ACAH,Atlantic Coastal Acquisition Co,9.65,undefined,None,,undefined,None,, 416.31 Mil ,414580096,$,None,282415,-416305073,$28.60,0,1.0041623309053072,1.0031217481789803,9.64,9.61,None, -215.59 ,None
ACAHU,,9.91,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,282415,,$28.60,0,,,9.91,9.8,,Not Found!,
ACAHW,,,,Key Error,,,,N/A , - ,,$,,,,$28.60,,,,,,,Not Found!,
ACB,Aurora Cannabis Inc.,7.44,undefined,-13.302,,undefined,0.67169607,-2.67 , 1.47 Bil ,1340853760,$-274.5,-266688624,476932000,-986140128,$522.9,480918016,2.005390835579515,1.977088948787062,7.335,3.71,None, -0.79 ,-3.619
ACBA,,,,Key Error,,,,, 59.61 Mil ,,$,,,,$3.43,,,,,,, -172.27 ,
ACBAU,,10.27,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,131873,,$3.43,3337839,,,10.27,10.02,,Not Found!,
ACBAW,,,,Key Error,,,,N/A , - ,,$,,,,$3.43,,,,,,,Not Found!,
ACBI,"Atlantic Capital Bancshares, In",24.24,74.09442231075698,1.595,18.00,3.0567005903777633,1.4485646,," -63,034,000.00 ",-39648668,$115.6,None,652492992,159516704,"$3,427.3",95166000,2.312977099236641,2.291984732824427,24.02,10.48,0.0174,Not Found!,None
ACCD,"Accolade, Inc.",48.47,undefined,None,34.70,undefined,None,3.77 , 2.99 Bil ,2615810304,$-47.1,71904376,425505984,-2694792512,$454.4,279433984,1.643050847457627,1.5993220338983052,47.18,29.5,0.041500002, -44.33 ,-49.253
ACEV,ACE Convergence Acquisition Cor,9.88,undefined,None,,undefined,None,N/A , 284.43 Mil ,286322528,$0.00,None,27483,-284880677,$46.12,0,1.0291666666666668,1.028125,9.87,9.6,0.0322, -87.27 ,None
ACET,"Adicet Bio, Inc.",8.35,-265.09947410358575,-4.022,29.10,-31.74844001240548,1.0714767,3.26 , 65.28 Mil ,26113430,$-52.49,-20192250,208726000,-44509456,$40.44,20541000,1.3359999999999999,1.2544,7.84,6.25,0.0466, -1.2 ,-0.573
ACER,Acer Therapeutics Inc.,2.7,undefined,-1.603,N/A,undefined,3.6726274,-4.22 , 32.81 Mil ,27157744,$0.90,2049059,15900297,-22307939,$32.21,842821,1.2558139534883723,1.2232558139534884,2.63,2.15,0.0143, -1.89 ,-1.417
ACEVW,,,,Key Error,,,,N/A , - ,,$-1.49,,,,$46.12,,,,,,,Not Found!,
ACEVU,,10.17,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$0.00,None,27483,,$46.12,0,,,10.17,9.92,,Not Found!,
ACGL,Arch Capital Group Ltd.,39.61,465.14401912350604,4.056,56.92,11.74309566078026,1.2859147,, 19.13 Bil ,17193369600,"$3,132",1004032256,3335512064,-12579185664,"$31,577",3160989952,1.4450930317402408,1.4268515140459685,39.11,27.41,0.0148, 7.5 ,7.017
ACGLO,Arch Capital Group Ltd. - Depos,26.59,undefined,4.056,,undefined,0.86390764,Not Found!,,12059913216,Not Found!,1004032256,3335512064,-12110516224,Not Found!,3160989952,1.0452044025157232,1.0389150943396226,26.43,25.44,None,,4.922
ACGLP,Arch Capital Group Ltd. - Depos,25.29,undefined,4.056,,undefined,0.82477254,Not Found!,,11746366464,Not Found!,1004032256,3335512064,-12011902976,Not Found!,3160989952,1.0160707111289673,1.0156689433507433,25.28,24.89,None,,4.794
ACGLN,,26.44,,Unexpected error:<class 'TypeError'>,,,None,Not Found!,,,Not Found!,1004032256,3335512064,,Not Found!,3160989952,,,26.17,24.98,,,
ACHL,Achilles Therapeutics plc,6.65,undefined,None,3.20,undefined,None,N/A ," -22,114,000.00 ",-93264664,$0.00,None,159262000,-106601232,$29.52,15939000,1.2068965517241381,1.1633575317604357,6.4101,5.51,None, 0.76 ,2.308
ACHC,"Acadia Healthcare Company, Inc.",68.26,-201.2230613545817,-7.911,6.01,-2.9478913178227613,2.631762,2.22 , 7.54 Bil ,7448640000,$345,45544376,185546000,-5931071728,"$2,207",1637619968,2.521610639083857,2.5079423716291096,67.89,27.07,0.0401, 18.37 ,15.135
ACHV,"Achieve Life Sciences, Inc.",8.42,-206.88239043824709,-5.022,15.00,-24.57035515893671,1.7170889,N/A , 37.51 Mil ,21961406,$-22.35,-8303625,29637000,-49743584,$4.71,126000,1.2699849170437405,1.2232277526395172,8.11,6.63,0.0339, -1.36 ,-1.149
ACIU,AC Immune SA,7.13,undefined,-1.073,N/A,undefined,2.481701,11.75 , 302.52 Mil ,301665120,$-77.93,-42910752,199135008,-318152224,$24.02,2697000,1.6131221719457014,1.5927601809954752,7.04,4.42,0.0369, -3.83 ,-4.161
ACKIT,,10.03,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$-0.30,None,677130,,$0.69,0,,,10,9.84,,Not Found!,
ACIW,"ACI Worldwide, Inc.",32.9,28.89274900398407,0.804,12.00,0.8781990578718563,3.2813888,2.28 , 4.93 Bil ,4777502720,$274,308867360,146212992,-3784138624,"$1,997",1179486976,1.3970276008492568,1.3898089171974521,32.73,23.55,0.0223, 15.33 ,19.71
ACKIU,,10.2,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$-0.30,None,363621,,$0.69,0,,,10.2171,10.08,,Not Found!,
ACKIW,,,,Key Error,,,,N/A , - ,,$-0.30,,,,$0.69,,,,,,,Not Found!,
ACLS,"Axcelis Technologies, Inc.",49.84,80.48581673306775,1.611,20.00,1.614883963344056,3.4571824,7.79 , 1.51 Bil ,1354926080,$52.2,12416000,219731008,-1462280000,$166.5,55400000,2.443137254901961,2.41421568627451,49.25,20.4,0.0325, 17.89 ,17.472
ACNB,ACNB Corporation,28.59,undefined,3.115,N/A,undefined,0.95399195,," -288,663,000.00 ",-256637440,$33.39,None,592865984,347102416,"$2,442.15",88019000,1.5047368421052632,1.4736842105263157,28,19,0.0045,Not Found!,None
ACMR,"ACM Research, Inc.",92.99,52.90780876494025,1.059,20.00,0.5689623482626116,12.122533,7.10 , 1.78 Bil ,1949443328,$-43.9,-14555000,105799000,-1689594280,$189.4,47881000,1.6024470101671549,1.5945200758228502,92.53,58.03,0.0709, 64.16 ,77.627
ACOR,"Acorda Therapeutics, Inc.",4.35,-983.3605577689244,-14.959,29.00,-226.0598983376838,0.2010927,-2.54 , 190.09 Mil ,182632128,$-37.4,-743250,116773000,68048128,$301.0,252911008,1.726190476190476,1.6984126984126986,4.28,2.52,0.1538, -2.77 ,-4.311
ACQR,Independence Holdings Corp.,9.68,undefined,None,,undefined,None,, 601.41 Mil ,614484480,$,None,1676347,-600232965,$38.63,0,1.0051921079958461,1.0,9.63,9.63,None, -1522.55 ,None
ACQRU,,9.99,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,1676347,,$38.63,0,,,9.9,9.825,,Not Found!,
ACQRW,,,,Key Error,,,,Not Found!,,,Not Found!,,,,Not Found!,,,,,,,,
