TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
AADR,,66.5104,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,65.595,52.85,,Not Found!,
AACIU,,9.91,,Unexpected error:<class 'TypeError'>,,,1980,, - ,,$,None,1937,,$0.11,7000,,,9.88,9.76,,Not Found!,
AACG,ATA Creativity Global,2.36,-16.553253968253966,-0.283,25.00,-7.014090664514392,0.34985423,-0.26 , 68.13 Mil ,28282896,$0.00,None,91364512,15281632,$50.87,39872320,2.2264150943396226,2.2075471698113205,2.34,1.06,None, -5.16 ,-0.562
AADI,"Aadi Bioscience, Inc.",32.33,undefined,-0.825,N/A,undefined,None,, 662.69 Mil ,251932784,$,None,15018601,-647669399,$0.00,11592685,33.888888888888886,33.0188679245283,31.5,0.954,None,Not Found!,-73.586
AAME,Atlantic American Corporation,3.91,undefined,0.746,N/A,undefined,0.570773,, 105.50 Mil ,110431840,$-5.6,25857000,9532000,-71702984,$262.1,38470000,2.0797872340425534,2.0179787234042554,3.7938,1.88,0.067, 4.58 ,4.79
AAOI,"Applied Optoelectronics, Inc.",7.16,-70.61214285714286,-1.881,13.00,-9.862031125299282,0.7028444,0.79 , 307.24 Mil ,307241504,$-49.5,-36835500,44013000,-152490728,$195.9,154751008,1.1205007824726136,1.107981220657277,7.08,6.39,0.19860001, -22.44 ,-13.853
AAL,"American Airlines Group, Inc.",20.9,1988.8462698412702,-9.845,-124.20,95.16010860484548,None,-0.04 , 44.20 Bil ,44196122624,"$-2,548",-2783249920,17949999104,4100873216,"$80,131",48297000960,1.9661335841956724,1.9576669802445905,20.81,10.63,0.1778, -7.5 ,-5.77
AAON,"AAON, Inc.",68.08,51.18492063492063,1.43,12.00,0.7518349094436051,9.135364,20.56 , 3.39 Bil ,3393334784,$61.5,40959500,111427000,-3393332296,$120.5,0,1.2098809312244534,1.1881997511995734,66.86,56.27,0.0431, 28.77 ,28.787
AAPL,Apple Inc.,146.83,250.7055047619047,5.108,19.61,1.7074542311646441,37.84647,7.64 , 2.49 Til ,2502406963200,"$94,768",80625876992,61696000000,-2366920835072,"$265,560",135491002368,1.3681513231457325,1.3564107342527023,145.57,107.32,0.0058999998, 21.74 ,22.557
AATC,Autoscope Technologies Corporat,7.7,26.871428571428574,0.54,20.00,3.489795918367347,2.0296257,26.63 , 33.52 Mil ,33519722,$2.09,1379500,8427000,-33490752,$1.00,29000,2.2318840579710146,2.205797101449275,7.61,3.45,0.0068, 12.11 ,16.652
AAWW,Atlas Air Worldwide Holdings,77.56,514.1443650793651,15.917,10.00,6.628988719434826,0.9124512,1.72 , 4.23 Bil ,4233263616,$346,152069504,750161024,-1528293504,"$3,642",2704971008,1.544404619673437,1.5193150139386697,76.3,50.22,0.1696, 3.99 ,4.856
AAXJ,,86.7,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,85.46,75.69,,Not Found!,
ABCB,Ameris Bancorp,49.54,175.45000000000002,6.09,8.00,3.5415825595478405,1.2412103,, 3.83 Bil ,752638400,$706,None,3324837888,-209527808,"$19,050",556177984,2.2446760308110556,2.236067059356593,49.35,22.07,0.0352,Not Found!,None
ABCM,Abcam plc,21.14,undefined,0.099,N/A,undefined,7.3984323,38.16 , 4.56 Bil ,4586511872,$17.8,15400000,219900000,-4488073632,$266.2,110500000,1.2333722287047841,1.1966161026837807,20.51,17.14,None, 71.19 ,75.189
ABCL,AbCellera Biologics Inc.,21.15,-100.62590476190476,0.74,-86.38,-4.757725993470674,6.053234,21.98 , 5.14 Bil ,5136912896,$,174090608,792571008,-5102018432,$175.0,34897000,1.4576154376292212,1.430737422467264,20.76,14.51,0.0771, 30.28 ,15.949
ABGI,ABG Acquisition Corp. I,9.74,undefined,-0.099,,undefined,37.644787,N/A , 188.34 Mil ,187595520,$,None,703509,-187789339,$0.00,0,1.0135275754422477,1.0145681581685744,9.75,9.61,0.0004,Not Found!,None
