TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),
AACIU,,9.93,,Unexpected error:<class 'TypeError'>,,,1986.0001,, - ,,$,None,1937,,,$0.20 ,7000,,,9.9,9.76,,Not Found!,,-9.93
AADR,,63.4,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,63.26,52.85,,Not Found!,,-63.4
AAME,Atlantic American Corporation,4.34,undefined,0.746,N/A,undefined,0.6439122,, 115.91 Mil ,120841328,($5.60),25857000,9532000,-82112488,0.467,$262.10 ,38470000,2.284210526,2.278947368,4.33,1.9,0.069,5.03,5.241,-3.873
AACG,ATA Creativity Global,2.27,-15.2224,-0.284,25,-6.705903084,0.33527696,-0.3, 63.99 Mil ,25132896,$0.00 ,None,91364512,18451752,2.9,$50.87 ,39872320,2.141509434,2.150943396,2.28,1.06,None,-4.92,-0.499,0.63
AADI,"Aadi Bioscience, Inc.",26.87,undefined,-0.358,N/A,undefined,None,, 542.19 Mil ,538121984,$,None,11674604,-530509780,0.561,$0.00 ,9411781,28.16561845,26.84486373,25.61,0.954,None,Not Found!,-243.058,-26.309
AAL,"American Airlines Group, Inc.",20.17,1822.5064,-9.845,-124.2,90.35728309,None,-0.05, 43.34 Bil ,43341479936,"($2,548)",-2783249920,17949999104,4955517952,27.724,"$80,131 ",48297000960,1.897460019,1.870178739,19.88,10.63,0.16860001,-7.35,-5.658,7.554
AAOI,"Applied Optoelectronics, Inc.",6.9,-64.7064,-1.881,13,-9.37773913,0.6591593,0.75, 295.03 Mil ,295027904,($49.50),-36835500,44013000,-140277112,1.622,$195.90 ,154751008,1.079812207,1.059467919,6.77,6.39,0.19790001,-21.55,-13.303,-5.278
AATC,Autoscope Technologies Corporat,7.1,24.624,0.54,20,3.468169014,1.7931393,23.7, 28.64 Mil ,28635584,$2.09 ,1379500,8427000,-28606612,1.57,$1.00 ,29000,2.057971014,1.999130435,6.897,3.45,0.0125,10.34,14.225,-5.53
AAWW,Atlas Air Worldwide Holdings,83.2,471.1432,15.917,10,5.662778846,0.9490655,1.74, 4.32 Bil ,4324691968,$346 ,152069504,750161024,-1619722112,25.845,"$3,642 ",2704971008,1.656710474,1.621863799,81.45,50.22,0.1604,4.08,4.96,-57.355
AAON,"AAON, Inc.",69.86,46.904,1.43,12,0.671399943,9.423575,21.11, 3.50 Bil ,3503906560,$61.50 ,40959500,111427000,-3503904072,2.126,$120.50 ,0,1.241514128,1.224098098,68.88,56.27,0.0421,29.71,29.725,-67.734
AAXJ,,85.42,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,85.32,78.25,,Not Found!,,-85.42
AAPL,Apple Inc.,143.29,231.780608,5.108,19.86,1.61756304,36.81092,7.49, 2.42 Til ,2.43596E+12,"$94,768 ",80625876992,61696000000,-2.30047E+12,3.732,"$265,560 ",1.35491E+11,1.335165859,1.328363772,142.56,107.32,0.0061,21.16,21.958,-139.558
ABCB,Ameris Bancorp,53.13,160.776,6.09,8,3.026086957,1.2941321,, 3.98 Bil ,902776640,$706 ,None,3324837888,-360223232,47.834,"$19,050 ",556177984,2.168571429,2.149795918,52.67,24.5,0.038,Not Found!,None,-5.296
ABCL,AbCellera Biologics Inc.,15.78,-92.20992,0.74,-86.38,-5.843467681,4.3989697,16.46, 3.52 Bil ,3526004736,$,174090608,792571008,-3491109504,2.844,$175.00 ,34897000,1.087525844,1.050310131,15.24,14.51,0.0783,20.78,10.948,-12.936
ABGI,ABG Acquisition Corp. I,9.72,undefined,-0.099,,undefined,37.528957,N/A , 187.95 Mil ,187208880,$,None,703509,-187209371,0.036,$0.00 ,0,1.01144641,1.010405827,9.71,9.61,0.0004,Not Found!,None,-9.684
ABIO,"ARCA biopharma, Inc.",2.75,undefined,-1.52,N/A,undefined,0.63794726,N/A ,"-23,711,000.00",-23623512,($13.98),-8454625,63197000,24145628,4.386,$4.13 ,522000,1.026119403,1,2.68,2.68,0.027,1.48,1.472,1.636
ABCM,Abcam plc,20.77,undefined,0.098,N/A,undefined,7.33072,37.83, 4.50 Bil ,4543534080,$17.80 ,15400000,219900000,-4444984736,0.972,$266.20 ,110500000,1.211785298,1.196032672,20.5,17.14,None,71.1,74.484,-19.798
ABEO,Abeona Therapeutics Inc.,0.9505,undefined,-0.577,N/A,undefined,1.1398796,-6.03, 26.41 Mil ,26411878,($38.19),-15419375,77559000,-18211864,0.766,$46.59 ,8200000,1.131547619,1.119047619,0.94,0.84,0.0372,-0.6,-0.578,-0.1845
ABOS,"Acumen Pharmaceuticals, Inc.",14.8,-14082.41856,-216.786,32.1,-951.5147676,None,-3.39, 530.12 Mil ,704619712,$0.00 ,None,68812000,-475483936,1.7,$179.02 ,0,1.10365399,1,13.41,13.41,0.0048,-65.73,None,-13.1
ABSI,Absci Corporation,10.76,-169.89536,-4.406,15.6,-15.7895316,None,1.4, 1.16 Bil ,1160896000,$0.00 ,None,99450000,-828898672,1.074,$219.96 ,170620000,1.074925075,1,10.01,10.01,0.028499998,-21.45,-35.634,-9.686
ABNB,"Airbnb, Inc.",169.6,-1873.79712,-10.764,100.3,-11.04833208,31.005108,4.36, 101.87 Bil ,1.00303E+11,"$1,451 ",None,7427938816,-99422512640,11.991,"$12,092 ",2443749120,1.395884774,1.394897119,169.48,121.5,0.0436,-24.14,-35.381,-157.609
ABMD,"ABIOMED, Inc.",340.3,100.269536,3.382,10.03,0.294650414,11.700215,63.25, 14.92 Bil ,14781665280,$247.70 ,180856000,523031008,-14775995936,11.526,$150.90 ,5658000,1.401969266,1.373336629,333.35,242.73,0.0211,51.44,50.998,-328.774
ABST,Absolute Software Corporation,11.2,undefined,0.07,N/A,undefined,20.655432,1.38, 412.19 Mil ,417469152,$44.00 ,53798376,140526000,-405601296,2.838,$206.20 ,11868000,1.196581197,1.177350427,11.02,9.36,None,37.11,48.673,-8.362
