TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
AADR,,65.5,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,65.02,55.98,,Not Found!,
AACIU,,9.9,,Unexpected error:<class 'TypeError'>,,,1990,, - ,,$,None,1937,,,$0.20,7000,,,9.9,9.76,,Not Found!,
AAL,"American Airlines Group, Inc.",20.63,854.0338604651163,-5.184,-105.10,41.3976665276353,None,0.20 , 46.25 Bil ,46246957056,"$-1,107",-976374976,14535999488,407244800,22.45,"$75,874",46655000576,1.7708154506437768,1.824892703862661,21.26,11.65,0.15619999, -18.82 ,-10.314
AADI,"Aadi Bioscience, Inc.",28.23,undefined,-0.358,N/A,undefined,None,, 575.16 Mil ,570985984,$,None,11674604,-563483284,0.561,$0.00,9411781,29.59119496855346,28.658280922431867,27.34,0.954,None,Not Found!,-257.902
AACG,ATA Creativity Global,2.33,-16.33968992248062,-0.286,25.00,-7.012742456000265,0.3440233,-0.28 , 66.01 Mil ,27022896,$0.00,None,91364512,17315032,2.9,$50.87,39872320,2.118181818181818,2.0909090909090904,2.3,1.1,None, -5 ,-0.537
AAME,Atlantic American Corporation,4.47,undefined,0.746,N/A,undefined,0.6467805,, 116.31 Mil ,121249544,$-5.6,25857000,9532000,-82520712,0.467,$262.1,38470000,2.235,2.2,4.4,2,0.044099998, 5.04 ,5.259
AAOI,"Applied Optoelectronics, Inc.",8.64,-74.83666666666666,-2.041,13.00,-8.6616512345679,0.60325307,0.67 , 269.79 Mil ,269730496,$-49.5,-14393375,43534000,-115514608,1.602,$195.9,154019008,1.502608695652174,1.0,5.75,5.75,0.1983, -19.71 ,-8.777
AAON,"AAON, Inc.",73.96,47.652170542635666,1.363,12.00,0.6442965189647873,9.676575,22.39 , 3.76 Bil ,3762199040,$61.5,31116750,101813000,-3770820600,1.947,$120.5,0,1.248902397838568,1.2002701789935832,71.08,59.22,0.041500002, 31.89 ,32.885
AAPL,Apple Inc.,150.74,228.94888372093024,5.61,15.43,1.5188329820945352,39.385574,7.32 , 2.54 Til ,2555842658304,"$92,953",73295003648,62639001600,-2419321253888,3.818,"$287,912",136521998336,1.3388400390798472,1.3328004263256061,150.06,112.59,0.0062, 20.66 ,21.257
AATC,Autoscope Technologies Corporat,6.99,26.24651162790698,0.54,20.00,3.754865755065376,1.7671518,23.37 , 28.10 Mil ,28098864,$2.09,1379500,8427000,-28069892,1.57,$1.00,29000,1.7607052896725441,1.7128463476070528,6.8,3.97,0.0066000004, 10.15 ,13.959
AAWW,Atlas Air Worldwide Holdings,89.5,533.8010077519381,16.919,10.00,5.964257069854057,0.9507377,1.76 , 4.34 Bil ,4342533120,$346,196027008,773910976,-1721361728,26.661,"$3,642",2621171968,1.7821585025886102,1.7084826762246117,85.8,50.22,0.16059999, 4.1 ,4.597
AAXJ,,86.28,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,85.73,82.67,,Not Found!,
ABCB,Ameris Bancorp,53.63,157.0186046511628,5.58,8.00,2.9278128780750103,1.3175644,, 4.13 Bil ,625228416,$706,None,3752440064,-90990848,54.088,"$19,050",555707008,1.696078431372549,1.7161606578115116,54.265,31.62,0.034,Not Found!,None
ABCM,Abcam plc,22.94,undefined,0.097,N/A,undefined,8.196721,42.06 , 5.03 Bil ,5093199872,$17.8,15400000,219900000,-4997649824,0.972,$266.2,110500000,1.338389731621937,1.3307876312718785,22.8097,17.14,None, 80.44 ,83.495
ABGI,ABG Acquisition Corp. I,9.79,undefined,-0.099,,undefined,37.837837,N/A , 189.50 Mil ,188755488,$,None,703509,-188755979,0.036,$0.00,0,1.0187304890738813,1.016649323621228,9.77,9.61,0.0002,Not Found!,None
ABCL,AbCellera Biologics Inc.,17.37,-98.28576744186046,0.74,-86.38,-5.6583631227323234,4.3188324,16.19 , 3.45 Bil ,3447967488,$,174090608,792571008,-3413072512,2.844,$175.0,34897000,1.19710544452102,1.0337698139214335,15,14.51,0.100600004, 20.32 ,10.705
ABIO,"ARCA biopharma, Inc.",2.63,undefined,-1.485,N/A,undefined,0.66955197,N/A ," -20,004,000.00 ",-19907324,$-16.86,-10266125,58313000,20414436,4.047,$3.59,507000,1.031372549019608,1.0156862745098039,2.59,2.55,0.0207, 1.07 ,1.061
ABMD,"ABIOMED, Inc.",363.07,103.59279844961242,3.257,10.15,0.2853245887834644,11.885844,70.35 , 15.81 Bil ,15814192128,$233.3,170232128,650558976,-15806341632,14.299,$145.5,7854000,1.4271058527573601,1.396289454030895,355.23,254.41,0.020299999, 54.95 ,54.877
ABNB,"Airbnb, Inc.",178.45,-1287.3485891472867,-6.938,100.30,-7.21405765843254,28.05343,5.35 , 121.26 Bil ,105555378176,"$1,451",None,7427938816,-119319062016,11.991,"$12,092",2443749120,1.4687242798353908,1.5304041152263375,185.9441,121.5,0.0464, -28.73 ,-37.234
ABOS,"Acumen Pharmaceuticals, Inc.",14.73,-15010.329860465117,-216.786,32.10,-1019.0312193119563,None,-3.20 , 533.35 Mil ,707857152,$0.00,None,68812000,-533353312,1.7,$179.02,0,1.1598425196850395,1.1503937007874017,14.61,12.7,0.0332, -73.73 ,None
ABSI,Absci Corporation,17.02,-181.090015503876,-4.406,15.60,-10.63983639858261,None,3.13 , 1.79 Bil ,1794913152,$0.00,None,99450000,-1462915440,1.074,$219.96,170620000,1.7692307692307694,1.6954261954261953,16.31,9.62,0.0337, -33.17 ,-55.096
