TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA
AACG,ATA Creativity Global,1.34,undefined,None,25.00,undefined,None,-0.86 ,15638866,None,75232600,34972076,2.412,45096760,1.2181818181818183,1.1454545454545453,1.26,1.1,None,undefined,31701200,USD,China,strong_buy,-0.295
AACIU,,,,,,,,,,,,,,,,,,,,,,,,,
AACI,,,,,,,,,,,,,,,,,,,,,,,,,
AADI,,,,,N/A,,,,,,,,,,,,,,,,,,,,
AACIW,,,,,,,,,,,,,,,,,,,,,,,,,
AADR,,61.5,,None,,,None,Not Found!,,,,,,,,,62.76,58.48,,,,,,,
AAL,"American Airlines Group, Inc.",16.99,2883.155,-14.725,-124.20,169.69717480871103,None,0.17 ,43119640576,-1145750016,14535999488,3715867648,22.45,46655000576,1.1549966009517334,1.133922501699524,16.68,14.71,0.1713,-1.786374223939489,641382976,USD,United States,hold,-9.068
AAME,Atlantic American Corporation,3.54,undefined,0.558,N/A,undefined,0.4997888,,117575600,25857000,9532000,-62941960,0.467,38470000,1.7438423645320198,1.729064039408867,3.51,2.03,0.0376,1.2665562913907285,20415200,USD,United States,none,5.1
AAOI,"Applied Optoelectronics, Inc.",5.74,-88.96038461538461,-2.445,13.00,-15.49832484588582,0.52520204,0.46 ,308869984,-36835500,44013000,-102654072,1.622,154751008,1.103846153846154,1.0491923076923078,5.4558,5.2,0.1742,-1.3712814709199952,26862100,USD,United States,hold,-13.927
AAON,"AAON, Inc.",78.81,47.87538461538462,1.38,12.00,0.607478551140523,10.983699,24.37 ,3501286400,40959500,111427000,-3986908488,2.126,0,1.3308004052684905,1.3193177980412023,78.13,59.22,0.0517,0.7811451086293177,52435200,USD,United States,hold,29.702
AAXJ,,81.95,,None,,,None,Not Found!,,,,,,,,,81.92,80.88,,,,,,,
AATC,,,,,,,,31.00 ,,,,,,,,,,,,,,,,,
AAWW,Atlas Air Worldwide Holdings,87.86,484.9248461538462,15.489,10.00,5.51929030450542,1.0955453,1.81 ,4013743872,401900384,703777024,-1907305216,24.261,2730127104,1.7495021903624055,1.7652329749103943,88.65,50.22,0.14140001,13.854429828190067,29008800,USD,United States,buy,4.73
AAPL,Apple Inc.,179.3,211.6423523076923,4.449,19.61,1.1803812175554507,41.9679,8.12 ,3018010918912,73295003648,62639001600,-2840985120768,3.818,136521998336,1.5428964805094227,1.4897263574563293,173.1211,116.21,0.0069,4.392183737301862,16687599616,USD,United States,buy,25.101
ABCB,Ameris Bancorp,48.3,147.5176153846154,5.283,8.00,3.0541949354992837,1.2363994,,1051524736,None,3324837888,-98276608,47.834,556177984,1.3446547884187081,1.3499443207126949,48.49,35.92,0.0383,undefined,69731400,USD,United States,buy,None
ABCL,AbCellera Biologics Inc.,12.99,undefined,None,-86.38,undefined,None,14.81 ,3988653056,174090608,792571008,-2897441408,2.844,34897000,1.0647540983606558,1.0221311475409838,12.47,12.2,0.100600004,0.6425761931995486,270926016,USD,Canada,buy,12.384
ABGI,ABG Acquisition Corp. I,9.9,undefined,None,,undefined,None,N/A ,188368832,None,703509,-188755979,0.036,0,1.0301768990634756,1.0145681581685744,9.75,9.61,0.0002,undefined,15566300,USD,United States,none,None
ABIO,"ARCA biopharma, Inc.",2.31,undefined,-1.691,N/A,undefined,0.50942284,N/A ,-22758904,-8454625,63197000,29620024,4.386,522000,1.0645161290322582,1.0645161290322582,2.31,2.17,0.0221,-0.5867152205744582,14410100,USD,United States,none,1.418
ABCM,Abcam plc,22.45,undefined,None,N/A,undefined,None,41.36 ,5052484096,15400000,219900000,-4838114208,0.972,110500000,1.3098016336056009,1.2852975495915986,22.03,17.14,None,0.06792369850430957,226724992,USD,United Kingdom,buy,82.828
ABMD,"ABIOMED, Inc.",315.46,154.91080000000005,4.94,10.03,0.49106320928168407,10.553096,60.73 ,15711506432,180856000,523031008,-13756285472,11.526,5658000,1.2074099590461975,1.1852107015730855,309.66,261.27,0.0196,3.9927587424938182,45296000,USD,United States,buy,54.206
ABNB,"Airbnb, Inc.",168.14,undefined,None,100.30,undefined,None,5.83 ,98927296512,2397460992,7920702976,-89536784896,12.649,2430998016,1.2962763086886129,1.2043789993061444,156.22,129.71,0.0436,12.410182422452362,193184992,USD,United States,buy,-38.281
ABOS,,6.9,,None,32.10,,None,112.04 ,,None,68812000,,,0,,,6.82,6.23,,,,,,,
ABSI,,10.18,,None,15.60,,None,8.26 ,,None,99450000,,,170620000,,,9.31,9.3,,,,,,,
ABEO,Abeona Therapeutics Inc.,0.5214,undefined,-0.559,N/A,undefined,0.5222455,-7.30 ,15681814,-15419375,77559000,27842400,0.766,8200000,1.08625,1.0220833333333332,0.4906,0.48,0.0326,-0.1543593714311708,99892704,USD,United States,buy,-0.343
ABVC,"ABVC Biopharma, Inc.",3.32,undefined,-0.473,N/A,undefined,30.093458,5.77 ,150544896,-3867207,924841,-77709167,0.038,6497289,1.7025641025641025,1.6205128205128205,3.16,1.95,0.0067000003,-0.15835904260764522,24420500,USD,United States,none,-16.003
ABST,Absolute Software Corporation,8.78,undefined,None,,undefined,None,0.19 ,435293792,53798376,140526000,-310262576,2.838,11868000,1.0502392344497609,1.0598086124401913,8.86,8.36,None,1.086603192043724,49510600,USD,Canada,none,50.751
ABTX,"Allegiance Bancshares, Inc.",39.3,undefined,2.942,N/A,undefined,1.0705377,,255052848,None,711284992,-102897216,35.186,259428000,1.2110939907550076,1.2258859784283513,39.78,32.45,0.0153,undefined,20183000,USD,United States,hold,None
ACAH,Atlantic Coastal Acquisition Co,9.85,undefined,None,,undefined,None,,414580096,None,282415,-422342609,0.007,0,1.0249739854318418,1.0197710718002082,9.8,9.61,None,undefined,34500000,USD,United States,none,None
ACAHW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
