TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
ALLR,,8.28,,436.03,N/A,,,,N/A,,,,,,,,,3.7205,3.72,,,,,,,,,,,,
ALPS,"Alpine Summit Energy Partners, ",0.5632,,0.61,,,0.5052265,,0.28,,-135167664,7011728,-9190746,,139631728,2.0114285714285716,1.0017857142857143,0.2805,0.28,,,,,,16202474,,,,,,
AUVIP,,5.22,,-0.867,,,0.7868852,,Not Found!,,14132142,,,,14397449,,,3.63,3.53,,,,,,,,,,,,
ASLN,,3.83,,-4.33,N/A,,4.317841,,N/A,,,,,,,,,2.7301,1.705,,,,,,,,,,,,
SYTAW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
JOBY_t,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
VBIV,"VBI Vaccines, Inc.",2.42,undefined,-18.65,N/A,undefined,0.2256214,-0.42808646379349397,-8.27,32811664,-48664624,40392000,30233923,4.692,52371000,2.2407407407407405,1.0,1.08,1.08,0.072399996,-5.6530635856951355,8608540,USD,United States,10158077,strong_buy,-0.394,undefined,undefined,Healthcare,Biotechnology
XXII,"22nd Century Group, Inc",3.76,undefined,-0.33,N/A,undefined,7.2000003,-19.460198967310824,-3.28,85066544,-45967752,16227000,-626129992,0.073,22349000,1.405607476635514,1.0,2.675,2.675,0.121800005,-0.19321487957631037,237910000,USD,United States,642356992,buy,-1.422,undefined,undefined,Consumer Defensive,Tobacco
NYMX,,0.249,,-0.03,N/A,,,,N/A,,,,,,,,,0.1827,0.17,,,,,,,,,,,,
BODY,"The Beachbody Company, Inc.",0.4189,-19.6545842217484,-0.5,33.40,-46.91951353962378,0.53691274,2.5421984703087723,-0.89,107547000,29026250,72269000,-27692280,0.227,46420000,1.3090625,1.0,0.32,0.32,0.082200006,0.16477863742444976,176152992,USD,United States,99961280,buy,-2.711,6.477311214407581,15.462667019354454,Communication Services,Internet Content & Information
PW_pa,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
YELL,,0.8923,,-0.1,68.16,,,,1.12,,,,,,,,,0.714,0.63,,,,,,,,,,,,
IFBD,"Infobird Co., Ltd",1.24,undefined,-12.17,,undefined,0.5923345,-0.8401967871954517,-4.46,1485540,-6770969,7742848,3063231,1.688,3614875,1.3333333333333333,1.0221505376344084,0.9506,0.93,0.0767,-1.4758447293509391,4587860,USD,China,4679617,none,-0.133,undefined,undefined,Technology,Software—Application
GORO,Gold Resource Corporation,0.6156,undefined,-0.13,N/A,undefined,0.3983267,5.013805255596217,1.03,33041234,10862250,21420000,-22805404,0.242,0,1.256326530612245,1.0004081632653061,0.4902,0.49,0.0073,0.12278099539524216,88468496,USD,United States,44225404,buy,1.302,undefined,undefined,Basic Materials,Gold
WLMS,Williams Industrial Services Gr,0.3749,-13.368869936034114,-0.5,20.00,-35.659829117188885,0.34312227,-0.5870802349246587,1.45,57874780,-17376124,48000,-8504229,0.002,47842000,1.2035313001605137,1.0,0.3115,0.3115,0.0011999999,-0.6385839237938435,27210400,USD,United States,8552229,buy,-3.281,-17.07429084088443,-45.54358719894486,Industrials,Engineering & Construction
STRC,Sarcos Technology and Robotics ,1.902,undefined,-0.96,N/A,undefined,1.9631902,-7.667105983380786,-4.67,-29289000,-38277624,94720000,-152160000,0.614,12969000,1.2192307692307691,1.0,1.56,1.56,0.0364,-0.24807274141283214,154300000,USD,United States,246880000,buy,0.29,undefined,undefined,Technology,Computer Hardware
VEDU,,0.51,,-0.08,,,1.2941176,,0.28,,,,,,,,,0.4253,0.36,,,,,,,,,,,,
KPLTW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
AGFY,Agrify Corporation,3.29,-30154.020895522386,-1127.77,20.00,-9165.355895295557,0.0107559925,-0.09660001408247466,-6.33,33076162,-55274376,2532000,-2012260,5.705,33778000,1.1963636363636363,1.0036363636363637,2.76,2.75,0.0101,-34.057966049477805,1622950,USD,United States,4544260,buy,-0.52,-910.6330368026689,-276.7881570828781,Industrials,Engineering & Construction
SOUN,,4.19,,-0.5,N/A,,,,-7.92,,,,,,,,,3.35,0.93,,,,,,,,,,,,
NLSP,NLS Pharmaceutics Ltd.,1.42,undefined,-1.21,N/A,undefined,11.782178,-5.300202367219963,N/A,37100628,-8688166,8948400,-29641992,0.276,0,4.303030303030303,3.0606060606060606,1.01,0.33,0.0032,-0.2679142986656963,32428900,USD,Switzerland,38590392,buy,-2.398,undefined,undefined,Healthcare,Biotechnology
BTM,,,,,,,,,6.80,,,,,,,,,,,,,,,,,,,,,,
SMX,SMX (Security Matters) Public L,0.1855,undefined,-0.27,,undefined,4.514286,-0.9495590080554783,N/A,23780714,-4698045,858259,-2941467,0.005,1220306,1.5204918032786885,1.2868852459016393,0.157,0.122,0.026400002,-0.19535384154784627,24048900,USD,Australia,3799726,none,-4.97,undefined,undefined,Industrials,Specialty Business Services
TMC,TMC the metals company Inc.,2.395,undefined,-0.61,N/A,undefined,10.252525,-7.360061840336962,N/A,398182496,-91321624,28390000,-541309200,0.101,0,4.686888454011742,3.8747553816046967,1.98,0.511,0.0309,-0.3254048745724059,280640000,USD,Canada,569699200,hold,-2.402,undefined,undefined,Basic Materials,Other Industrial Metals & Mining
WORX,SCWorx Corp.,0.3438,,-0.12,,,0.58582836,,-3.50,6124199,-64652,249718,-3572151,,253659,1.701980198019802,1.4356435643564354,0.29,0.202,0.001,,,,,3821869,,,,,,
APLD,Applied Digital Corporation,8.97,undefined,-0.45,N/A,undefined,11.956522,-22.43346094116421,1.66,758087296,-38378000,22921000,-716134232,0.242,36400000,10.55294117647059,8.23529411764706,7.0,0.85,0.1018,-0.39984913712268655,95981200,USD,United States,739055232,buy,-20.942,undefined,undefined,Financial Services,Capital Markets
NOGN,,1.25,,-14.85,N/A,,,,-2.60,,,,,,,,,1.04,1.04,,,,,,,,,,,,
AEVA_t,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
CPTN,,0.54,,-0.46,20.00,,,,-1.35,,,,,,,,,0.4661,0.32,,,,,,,,,,,,
LAES,SEALSQ Corp,14.03,,-0.31,,,870.71423,,N/A,,-4356750,4060000,-105664624,,14121000,1.5167567567567566,1.2054054054054055,11.15,9.25,,,,,,109724624,,,,,,
CLVRW,,0.0262,,-1.82,,,0.031220095,,N/A,,-4298375,,,,2695000,,,0.026,0.01,,,,,,,,,,,,
ENOB,"Enochian Biosciences, Inc.",0.53,undefined,-2.44,,undefined,0.40087718,-5.390853399735375,N/A,33929412,-6262458,2948042,-30591552,0.051,7537494,1.3486005089058524,1.0712468193384224,0.421,0.393,0.0842,-0.0983146750060049,63698100,USD,United States,33539594,none,-1.658,undefined,undefined,Healthcare,Biotechnology
LFMD,,4.82,,-1.43,N/A,,,,-5.94,,,,,,,,,4.0601,1.14,,,,,,,,,,,,
JOBY,"Joby Aviation, Inc.",10.69,2.7016375266524526,-0.87,-11.81,0.25272568069714246,5.450265,-33.9029294274261,N/A,5793617408,-213602752,977774976,-5295255168,1.55,26230000,3.3936507936507936,2.904761904761905,9.15,3.15,0.123900004,-0.3153119857351389,677433024,USD,United States,6273030144,hold,-15.586,0.9791479232935103,0.09159475428377084,Industrials,Airports & Air Services
BURU,,0.6426,,0.25,,,22.36,,-5.78,,,,,,,,,0.45,0.45,,,,,,,,,,,,
GLTA_u,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
TRIB,,1.08,,-1.2,15.00,,,,0.42,,,,,,,,,0.6399,0.63,,,,,,,,,,,,
BEST,BEST Inc.,2.14,,-8.56,40.00,,0.08158457,,-3.27,,-204320880,1280045952,1242945152,,4038262016,1.258823529411765,1.0,1.7,1.7,,,,,,37100800,,,,,,
GLMD,Galmed Pharmaceuticals Ltd.,2.9,-211.7628997867804,-7.92,20.00,-73.02168958164842,0.35874438,-0.4931537225630969,N/A,-7195315,-9880625,12152000,7850612,7.232,0,10.0,8.698275862068966,2.5225,0.29,0.0095,-5.880519333662654,1680230,USD,Israel,4301388,hold,0.532,-157.23179625614006,-54.21786077797933,Healthcare,Biotechnology
ALXO,ALX Oncology Holdings Inc.,7.29,undefined,-3.2,N/A,undefined,1.0759816,-5.5407741833499164,N/A,87906144,-53771500,227944000,-38564816,5.577,15462000,1.7234042553191489,1.3274231678486996,5.615,4.23,0.19139999,-1.315700614889978,40869100,USD,United States,266508816,buy,-0.654,undefined,undefined,Healthcare,Biotechnology
MINM,"Minim, Inc.",4.53,undefined,-8.99,N/A,undefined,0.44582328,-1.239673310200786,-2.44,13669436,-6892165,530110,-6787958,0.281,5932143,2.5166666666666666,2.096,3.7728,1.8,0.021300001,-3.65418853719315,1886100,USD,United States,7318068,buy,-0.962,undefined,undefined,Technology,Communication Equipment
DUO,Fangdd Network Group Ltd.,1.01,,-8.46,N/A,,0.059036463,,-8.66,,-293104128,145934000,94875864,,74535000,1.6833333333333333,1.4333333333333333,0.86,0.6,,,,,,51058136,,,,,,
OST,"Ostin Technology Group Co., Ltd",0.9895,undefined,0.02,,undefined,0.48103923,4.0222750722951846,2.24,30552284,3445596,3655947,-8532248,0.261,22011816,1.6221311475409836,1.4262295081967213,0.87,0.61,0.0032,0.2460050549042567,14006200,USD,China,12188195,none,14.956,undefined,undefined,Technology,Electronic Components
IMBI,,0.155,,-2.17,30.00,,0.23356402,,-0.76,,,,,,,,,0.121,0.11,,,,,,,,,,,,
TOVX,"Theriva Biologics, Inc.",0.93,undefined,-1.3,N/A,undefined,0.2591972,-0.7994948068752374,N/A,-16509142,-17592876,36076000,23672725,2.385,2465000,2.3846153846153846,2.102564102564102,0.82,0.39,0.0271,-1.1632345726357272,15124100,USD,United States,12403275,buy,0.737,undefined,undefined,Healthcare,Biotechnology
SLN,Silence Therapeutics Plc - Amer,5.76,,-1.63,N/A,,11.409979,,-3.48,,-22056376,62866000,-126256784,,398000,1.2673267326732673,1.1287128712871286,5.13,4.545,,,,,,189122784,,,,,,
MYMD,"MyMD Pharmaceuticals, Inc.",1.4,,-0.29,,,3.761468,,N/A,41082144,-8165103,15548502,-34626518,,126031,1.5555555555555554,1.2444444444444445,1.12,0.9,0.1034,,,,,50175020,,,,,,
IDAI,,1.25,,-2.39,N/A,,,,-19.28,,,,,,,,,1.04,1.03,,,,,,,,,,,,
INNV,InnovAge Holding Corp.,7.25,undefined,-0.32,N/A,undefined,2.8242586,-104.06164428864342,3.14,946405696,-9449375,167552992,-697766432,1.235,111321000,2.1386430678466075,1.861356932153392,6.31,3.39,0.0308,-0.06967024257170243,135630000,USD,United States,865319424,hold,-26.424,undefined,undefined,Healthcare,Medical Care Facilities
SIFY,Sify Technologies Limited - Ame,2.2,,0.06,N/A,,0.020687375,,1.01,,-6221624320,3650446080,3295746144,,22930671616,2.0952380952380953,1.7047619047619047,1.79,1.05,,,,,,354699936,,,,,,
