TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
MULN,"Mullen Automotive, Inc.",0.3925,undefined,-283.03,N/A,undefined,0.11796666,-1.0365709644210246,-10.14,-36980040,-69736016,214012128,148834724,1.162,13232782,3.925,3.53,0.353,0.1,0.2234,-0.3786523194957814,184168992,USD,United States,65177404,none,0.171,undefined,undefined,Consumer Cyclical,Auto Manufacturers
MPW,"Medical Properties Trust, Inc.",4.96,-0.08022099447513817,0.11,-9.40,-0.016173587595793987,0.34760705,2.9416710449839836,0.26,12882473984,1008972096,324049984,-2566222016,0.542,10237557760,1.0643776824034334,1.0,4.66,4.66,0.2913,1.6861164705882352,598400000,USD,United States,2890272000,hold,10.436,-1.2296540006499843,-0.24791411303427102,Real Estate,REIT - Healthcare Facilities
TELL,Tellurian Inc.,0.883,1.3224309392265197,-0.12,-22.10,1.4976567828159906,0.76354074,-1.5722960554005772,-0.69,929302848,-327764384,106979000,-358697000,0.184,522473984,1.132051282051282,1.0,0.78,0.78,0.1546,-0.5615990684241946,583627008,USD,United States,465676000,hold,106.109,6.188966529374551,7.0090221170719715,Energy,Oil & Gas E&P
ALDX,"Aldeyra Therapeutics, Inc.",5.43,-57.94872928176796,-0.87,73.70,-10.671957510454504,0.8125848,6.015961313634433,N/A,182652048,52888504,151675568,46495928,2.589,16152139,3.823943661971831,1.0,1.42,1.42,0.1339,0.9025988893401916,58595800,USD,United States,105179640,strong_buy,-3.299,60.12006745793011,11.071835627611438,Healthcare,Biotechnology
OMER,Omeros Corporation,2.27,-211.38232044198898,-2.79,85.00,-93.11996495241806,4.202454,-1.7588869220053993,N/A,268469728,-81121000,341283008,255170560,5.43,467070016,2.467391304347826,1.0,0.92,0.92,0.2149,-1.2905889353090725,62855800,USD,United States,86112448,hold,-1.612,-97.78053185748664,-43.07512416629367,Healthcare,Biotechnology
ATHX,"Athersys, Inc.",0.1028,-515.5365745856355,-2.23,276.80,-5014.947223595676,{},-0.10868731536102841,-109.77,24540144,-25266876,1803000,-868390,0.08,24030000,1.0652849740932642,1.0,0.0965,0.0965,0.0378,-0.9458325441062518,26713900,USD,United States,2671390,buy,-0.656,-218.6597622960332,-2127.040489261023,Healthcare,Biotechnology
OBLG,Oblong Inc.,0.2772,undefined,-5.15,N/A,undefined,0.08028674,-0.8169487422958686,-37.62,-5992051,-1667125,6872000,5524802,2.346,68000,1.2833333333333334,1.0,0.216,0.216,0.086899996,-0.3393113737111409,4913260,USD,United States,1347198,buy,1.168,undefined,undefined,Technology,Software - Application
BAX,Baxter International Inc.,31.84,-59.47430570902395,-5.59,4.63,-1.8679116114643202,2.8882523,14.132954821708218,1.48,31384930304,1140875008,1722000000,-14363954560,3.4,16920999936,1.0266000322424633,1.0,31.015,31.015,0.0195,2.2528905244283215,506404992,USD,United States,16085954560,hold,10.203,23.969427509626705,0.7528086529405372,Healthcare,Medical Instruments & Supplies
OSTK,"Overstock.com, Inc.",15.02,-27.163314917127074,-3.02,2.60,-1.8084763593293658,1.2776026,-11.52805621008447,3.15,377735328,-58895624,342891008,-389400896,7.586,41675000,1.0231607629427792,1.0,14.68,14.68,0.14829999,-1.3029082896786068,45203200,USD,United States,732291904,hold,301.947,-11.718976218766697,-0.78022478154239,Consumer Cyclical,Internet Retail
AULT,"Ault Alliance, Inc.",0.167,undefined,-205.44,N/A,undefined,0.0025010942,0.6408912617839013,-3.27,160299360,2758000,23326000,21632512,4.201,156894000,1.0767246937459705,1.0,0.1551,0.1551,0.044899996,0.2605746246799505,10584300,USD,United States,1693488,buy,-3.844,undefined,undefined,Industrials,Aerospace & Defense
IOVA,"Iovance Biotherapeutics, Inc.",3.63,17.86740331491713,-2.1,-19.00,4.92214967353089,1.3475728,-4.785066812463148,-1.91,729248256,-187966128,250894000,-608892176,1.013,80710000,1.069219440353461,1.0,3.395,3.395,0.1618,-0.7586100972603622,247776992,USD,United States,859786176,buy,-1.747,6.454472650723525,1.7780916393177755,Healthcare,Biotechnology
STRM,"Streamline Health Solutions, In",0.74,-3.8084714548802956,-0.2,15.00,-5.146583047135534,0.46370235,-10.951377076985896,-2.53,47174140,-3979625,4087000,-10960697,0.072,9517000,3.469292076887014,1.0,0.2133,0.2133,0.00029999999,-0.06757141086440129,58895100,USD,United States,15047697,buy,-5.124,-1.2867189472153027,-1.7388093881287874,Healthcare,Health Information Services
LAC,Lithium Americas Corp.,8.68,undefined,-0.12,N/A,undefined,1.1575719,undefined,,{},{},261820000,-1181781024,{},47337000,1.0211764705882354,1.0,8.5,8.5,{},undefined,160048000,USD,Canada,1443601024,buy,{},undefined,undefined,Basic Materials,Other Industrial Metals & Mining
